Day,Date,Result,Home,Opp,year,Hometeam
Sun,2022-09-11,W,1,Green Bay Packers,2022,Minnesota Vikings
Sun,2022-09-25,W,1,Detroit Lions,2022,Minnesota Vikings
Sun,2022-10-09,W,1,Chicago Bears,2022,Minnesota Vikings
Sun,2022-10-30,W,1,Arizona Cardinals,2022,Minnesota Vikings
Sun,2022-11-20,L,1,Dallas Cowboys,2022,Minnesota Vikings
Thu,2022-11-24,W,1,New England Patriots,2022,Minnesota Vikings
Sun,2022-12-04,W,1,New York Jets,2022,Minnesota Vikings
Sat,2022-12-17,W,1,Indianapolis Colts,2022,Minnesota Vikings
Sat,2022-12-24,W,1,New York Giants,2022,Minnesota Vikings
Sun,2021-09-26,W,1,Seattle Seahawks,2021,Minnesota Vikings
Sun,2021-10-03,L,1,Cleveland Browns,2021,Minnesota Vikings
Sun,2021-10-10,W,1,Detroit Lions,2021,Minnesota Vikings
Sun,2021-10-31,L,1,Dallas Cowboys,2021,Minnesota Vikings
Sun,2021-11-21,W,1,Green Bay Packers,2021,Minnesota Vikings
Thu,2021-12-09,W,1,Pittsburgh Steelers,2021,Minnesota Vikings
Sun,2021-12-26,L,1,Los Angeles Rams,2021,Minnesota Vikings
Sun,2021-01-09,W,1,Chicago Bears,2021,Minnesota Vikings
Sun,2020-09-13,L,1,Green Bay Packers,2020,Minnesota Vikings
Sun,2020-09-27,L,1,Tennessee Titans,2020,Minnesota Vikings
Sun,2020-10-18,L,1,Atlanta Falcons,2020,Minnesota Vikings
Sun,2020-11-08,W,1,Detroit Lions,2020,Minnesota Vikings
Sun,2020-11-22,L,1,Dallas Cowboys,2020,Minnesota Vikings
Sun,2020-11-29,W,1,Carolina Panthers,2020,Minnesota Vikings
Sun,2020-12-06,W,1,Jacksonville Jaguars,2020,Minnesota Vikings
Sun,2020-12-20,L,1,Chicago Bears,2020,Minnesota Vikings
Sun,2019-09-08,W,1,Atlanta Falcons,2019,Minnesota Vikings
Sun,2019-09-22,W,1,Oakland Raiders,2019,Minnesota Vikings
Sun,2019-10-13,W,1,Philadelphia Eagles,2019,Minnesota Vikings
Thu,2019-10-24,W,1,Washington Redskins,2019,Minnesota Vikings
Sun,2019-11-17,W,1,Denver Broncos,2019,Minnesota Vikings
Sun,2019-12-08,W,1,Detroit Lions,2019,Minnesota Vikings
Mon,2019-12-23,L,1,Green Bay Packers,2019,Minnesota Vikings
Sun,2019-12-29,L,1,Chicago Bears,2019,Minnesota Vikings
Sun,2018-09-09,W,1,San Francisco 49ers,2018,Minnesota Vikings
Sun,2018-09-23,L,1,Buffalo Bills,2018,Minnesota Vikings
Sun,2018-10-14,W,1,Arizona Cardinals,2018,Minnesota Vikings
Sun,2018-10-28,L,1,New Orleans Saints,2018,Minnesota Vikings
Sun,2018-11-04,W,1,Detroit Lions,2018,Minnesota Vikings
Sun,2018-11-25,W,1,Green Bay Packers,2018,Minnesota Vikings
Sun,2018-12-16,W,1,Miami Dolphins,2018,Minnesota Vikings
Sun,2018-12-30,L,1,Chicago Bears,2018,Minnesota Vikings
Mon,2017-09-11,W,1,New Orleans Saints,2017,Minnesota Vikings
Sun,2017-09-24,W,1,Tampa Bay Buccaneers,2017,Minnesota Vikings
Sun,2017-10-01,L,1,Detroit Lions,2017,Minnesota Vikings
Sun,2017-10-15,W,1,Green Bay Packers,2017,Minnesota Vikings
Sun,2017-10-22,W,1,Baltimore Ravens,2017,Minnesota Vikings
Sun,2017-11-19,W,1,Los Angeles Rams,2017,Minnesota Vikings
Sun,2017-12-17,W,1,Cincinnati Bengals,2017,Minnesota Vikings
Sun,2017-12-31,W,1,Chicago Bears,2017,Minnesota Vikings
Sun,2016-09-18,W,1,Green Bay Packers,2016,Minnesota Vikings
Mon,2016-10-03,W,1,New York Giants,2016,Minnesota Vikings
