Date,Home,Opponent,Result,Year,Month,Day
2022-10-13,1,New York Rangers,L,2022,October,Saturday
2022-10-15,1,Los Angeles Kings,L,2022,October,Monday
2022-10-17,1,Colorado Avalanche,L,2022,October,Wednesday
2022-10-20,1,Vancouver Canucks,W,2022,October,Saturday
2022-11-01,1,Montreal Canadiens,W,2022,November,Monday
2022-11-03,1,Seattle Kraken,L,2022,November,Wednesday
2022-11-13,1,San Jose Sharks,L,2022,November,Saturday
2022-11-17,1,Pittsburgh Penguins,L,2022,November,Wednesday
2022-11-19,1,Carolina Hurricanes,W,2022,November,Friday
2022-11-23,1,Winnipeg Jets,W,2022,November,Tuesday
2022-11-25,1,Toronto Maple Leafs,L,2022,November,Thursday
2022-11-27,1,Arizona Coyotes,W,2022,November,Saturday
2022-12-01,1,Edmonton Oilers,W,2022,December,Monday
2022-12-03,1,Anaheim Ducks,W,2022,December,Wednesday
2022-12-12,1,Edmonton Oilers,W,2022,December,Friday
2022-12-14,1,Detroit Red Wings,W,2022,December,Sunday
2022-12-16,1,Chicago Blackhawks,W,2022,December,Tuesday
2022-12-18,1,Ottawa Senators,W,2022,December,Thursday
2022-12-29,1,Dallas Stars,L,2022,December,Monday
2023-01-04,1,Tampa Bay Lightning,W,2023,January,Thursday
2023-01-08,1,St. Louis Blues,L,2023,January,Monday
2023-01-14,1,Arizona Coyotes,W,2023,January,Sunday
2023-01-26,1,Philadelphia Flyers,W,2023,January,Friday
2023-01-28,1,Buffalo Sabres,W,2023,January,Sunday
2023-02-09,1,Vegas Golden Knights,L,2023,February,Tuesday
2023-02-11,1,New Jersey Devils,W,2023,February,Thursday
2023-02-13,1,Florida Panthers,L,2023,February,Saturday
2023-02-15,1,Colorado Avalanche,L,2023,February,Monday
2023-02-17,1,Dallas Stars,W,2023,February,Wednesday
2023-02-19,1,Nashville Predators,W,2023,February,Friday
2023-02-21,1,Los Angeles Kings,W,2023,February,Sunday
2023-02-26,1,Columbus Blue Jackets,W,2023,February,Friday
2023-02-28,1,New York Islanders,W,2023,February,Sunday
2023-03-07,1,Calgary Flames,,2023,March,Sunday
