Date,Start (ET),Home,Opponent,Result,Tm,Opp,W,L,Streak,Year,Month,Day
2001-04-28,17:30:00,1,San Antonio Spurs,W,93.0,84.0,1.0,2.0,W 1,2001.0,April,Sunday
2001-04-30,20:00:00,1,San Antonio Spurs,L,84.0,97.0,1.0,3.0,L 1,2001.0,April,Tuesday
2002-04-28,15:00:00,1,Dallas Mavericks,L,102.0,115.0,0.0,3.0,L 3,2002.0,April,Sunday
2003-04-20,15:30:00,1,Los Angeles Lakers,L,98.0,117.0,0.0,1.0,L 1,2003.0,April,Saturday
2003-04-22,21:30:00,1,Los Angeles Lakers,W,119.0,91.0,1.0,1.0,W 1,2003.0,April,Monday
2003-04-29,21:30:00,1,Los Angeles Lakers,L,90.0,120.0,2.0,3.0,L 2,2003.0,April,Monday
2004-04-18,21:30:00,1,Denver Nuggets,W,106.0,92.0,1.0,0.0,W 1,2004.0,April,Thursday
2004-04-21,21:30:00,1,Denver Nuggets,W,95.0,81.0,2.0,0.0,W 2,2004.0,April,Sunday
2004-04-30,21:30:00,1,Denver Nuggets,W,102.0,91.0,4.0,1.0,W 2,2004.0,April,Tuesday
2004-05-04,21:30:00,1,Sacramento Kings,L,98.0,104.0,4.0,2.0,L 1,2004.0,May,Thursday
2004-05-08,21:30:00,1,Sacramento Kings,W,94.0,89.0,5.0,2.0,W 1,2004.0,May,Monday
2004-05-14,21:30:00,1,Sacramento Kings,W,86.0,74.0,7.0,3.0,W 1,2004.0,May,Sunday
2004-05-19,20:30:00,1,Sacramento Kings,W,83.0,80.0,8.0,4.0,W 1,2004.0,May,Friday
2004-05-21,21:00:00,1,Los Angeles Lakers,L,88.0,97.0,8.0,5.0,L 1,2004.0,May,Sunday
2004-05-23,20:30:00,1,Los Angeles Lakers,W,89.0,71.0,9.0,5.0,W 1,2004.0,May,Tuesday
2004-05-29,20:30:00,1,Los Angeles Lakers,W,98.0,96.0,10.0,7.0,W 1,2004.0,May,Monday
2018-04-21,19:30:00,1,Houston Rockets,W,121.0,105.0,1.0,2.0,W 1,2018.0,April,Sunday
2018-04-23,20:00:00,1,Houston Rockets,L,100.0,119.0,1.0,3.0,L 1,2018.0,April,Tuesday
2022-04-21,19:30:00,1,Memphis Grizzlies,L,95.0,104.0,1.0,2.0,L 2,2022.0,April,Sunday
2022-04-23,22:00:00,1,Memphis Grizzlies,W,119.0,118.0,2.0,2.0,W 1,2022.0,April,Tuesday
2022-04-29,21:00:00,1,Memphis Grizzlies,L,106.0,114.0,2.0,4.0,L 2,2022.0,April,Monday
