game_date,game_time,stadium_name,home_team,away_team,BallParkID
20230330,13:05:00,Yankee Stadium,NYA,SFN,CHI11
20230330,13:05:00,Nationals Park,WAS,ATL,WIL02
20230330,13:10:00,Petco Park,SDN,COL,SAN02
20230330,13:20:00,Wrigley Field,CHN,MIL,ATL03
20230330,14:10:00,Fenway Park,BOS,BAL,BOS07
20230330,15:05:00,Globe Life Field,TEX,PHI,ARL02
20230330,15:10:00,Busch Stadium,SLN,TOR,STL09
20230330,15:10:00,Kauffman Stadium,KCA,MIN,KAN06
20230330,15:10:00,Tropicana Field,TBA,DET,SEA03
20230330,16:10:00,Great American Ball Park,CIN,PIT,CIN09
20230330,16:10:00,loanDepot park,MIA,NYN,NYC16
20230330,18:08:00,Minute Maid Park,HOU,CHA,LON01
20230330,19:07:00,Oakland Coliseum,OAK,ANA,WAS11
20230330,19:10:00,Dodger Stadium,LAN,ARI,LOS03
20230330,19:10:00,TMobile Park,SEA,CLE,TOR02
20230331,18:40:00,Petco Park,SDN,COL,SAN02
20230331,18:40:00,loanDepot park,MIA,NYN,NYC16
20230331,19:10:00,Dodger Stadium,LAN,ARI,LOS03
20230331,19:10:00,TMobile Park,SEA,CLE,TOR02
20230331,19:10:00,Minute Maid Park,HOU,CHA,LON01
20230401,13:07:00,Oakland Coliseum,OAK,ANA,WAS11
20230401,13:10:00,Minute Maid Park,HOU,CHA,LON01
20230401,13:15:00,Busch Stadium,SLN,TOR,STL09
20230401,13:20:00,Wrigley Field,CHN,MIL,ATL03
20230401,15:05:00,Globe Life Field,TEX,PHI,ARL02
20230401,15:10:00,Kauffman Stadium,KCA,MIN,KAN06
20230401,16:05:00,Yankee Stadium,NYA,SFN,CHI11
20230401,16:05:00,Nationals Park,WAS,ATL,WIL02
20230401,16:10:00,Fenway Park,BOS,BAL,BOS07
20230401,16:10:00,Great American Ball Park,CIN,PIT,CIN09
20230401,16:10:00,loanDepot park,MIA,NYN,NYC16
20230401,16:10:00,Tropicana Field,TBA,DET,SEA03
20230401,17:40:00,Petco Park,SDN,COL,SAN02
20230401,18:10:00,Dodger Stadium,LAN,ARI,LOS03
20230401,18:40:00,TMobile Park,SEA,CLE,TOR02
20230402,13:07:00,Oakland Coliseum,OAK,ANA,WAS11
20230402,13:10:00,Dodger Stadium,LAN,ARI,LOS03
20230402,13:10:00,Petco Park,SDN,COL,SAN02
20230402,13:10:00,Kauffman Stadium,KCA,MIN,KAN06
20230402,13:10:00,TMobile Park,SEA,CLE,TOR02
20230402,13:10:00,Minute Maid Park,HOU,CHA,LON01
20230402,13:10:00,Tropicana Field,TBA,DET,SEA03
20230402,13:15:00,Busch Stadium,SLN,TOR,STL09
20230402,13:20:00,Wrigley Field,CHN,MIL,ATL03
20230402,13:35:00,Yankee Stadium,NYA,SFN,CHI11
20230402,13:35:00,Fenway Park,BOS,BAL,BOS07
20230402,13:35:00,Nationals Park,WAS,ATL,WIL02
20230402,13:40:00,Great American Ball Park,CIN,PIT,CIN09
20230402,13:40:00,loanDepot park,MIA,NYN,NYC16
20230402,18:08:00,Globe Life Field,TEX,PHI,ARL02
20230403,13:10:00,American Family Field,MIL,NYN,MIL06
20230403,15:10:00,Guaranteed Rate Field,CHA,SFN,CHI12
20230403,18:40:00,Oakland Coliseum,OAK,CLE,WAS11
20230403,18:40:00,Great American Ball Park,CIN,CHN,CIN09
