Year,Lg,Name,Tm
2022,AL,Justin Verlander,HOU
2022,NL,Sandy Alcantara,MIA
2021,AL,Robbie Ray,TOR
2021,NL,Corbin Burnes,MIL
2020,AL,Shane Bieber,CLE
2020,NL,Trevor Bauer,CIN
2019,AL,Justin Verlander,HOU
2019,NL,Jacob deGrom,NYM
2018,AL,Blake Snell,TBR
2018,NL,Jacob deGrom,NYM
2017,AL,Corey Kluber,CLE
2017,NL,Max Scherzer,WSN
2016,AL,Rick Porcello,BOS
2016,NL,Max Scherzer,WSN
2015,AL,Dallas Keuchel,HOU
2015,NL,Jake Arrieta,CHC
2014,AL,Corey Kluber,CLE
2014,NL,Clayton Kershaw,LAD
2013,AL,Max Scherzer,DET
2013,NL,Clayton Kershaw,LAD
2012,AL,David Price,TBR
2012,NL,R.A. Dickey,NYM
2011,AL,Justin Verlander,DET
2011,NL,Clayton Kershaw,LAD
2010,AL,Félix Hernández,SEA
2010,NL,Roy Halladay,PHI
2009,AL,Zack Greinke,KCR
2009,NL,Tim Lincecum,SFG
2008,AL,Cliff Lee,CLE
2008,NL,Tim Lincecum,SFG
2007,AL,CC Sabathia,CLE
2007,NL,Jake Peavy,SDP
2006,AL,Johan Santana,MIN
2006,NL,Brandon Webb,ARI
2005,AL,Bartolo Colon,LAA
2005,NL,Chris Carpenter,STL
2004,AL,Johan Santana,MIN
2004,NL,Roger Clemens,HOU
2003,AL,Roy Halladay,TOR
2003,NL,Eric Gagne,LAD
2002,AL,Barry Zito,OAK
2002,NL,Randy Johnson,ARI
2001,AL,Roger Clemens,NYY
2001,NL,Randy Johnson,ARI
2000,AL,Pedro Martinez,BOS
2000,NL,Randy Johnson,ARI
1999,AL,Pedro Martinez,BOS
1999,NL,Randy Johnson,ARI
1998,AL,Roger Clemens,TOR
1998,NL,Tom Glavine,ATL
1997,AL,Roger Clemens,TOR
1997,NL,Pedro Martinez,MON
1996,AL,Pat Hentgen,TOR
1996,NL,John Smoltz,ATL
1995,AL,Randy Johnson,SEA
1995,NL,Greg Maddux,ATL
,,,
