Year,Lg,Name,Tm
2022,AL,Aaron Judge,NYY
2022,NL,Paul Goldschmidt,STL
2021,AL,Shohei Ohtani,LAA
2021,NL,Bryce Harper,PHI
2020,AL,José Abreu,CHW
2020,NL,Freddie Freeman,ATL
2019,AL,Mike Trout,LAA
2019,NL,Cody Bellinger,LAD
2018,AL,Mookie Betts,BOS
2018,NL,Christian Yelich,MIL
2017,AL,Jose Altuve,HOU
2017,NL,Giancarlo Stanton,MIA
2016,AL,Mike Trout,LAA
2016,NL,Kris Bryant,CHC
2015,AL,Josh Donaldson,TOR
2015,NL,Bryce Harper,WSN
2014,AL,Mike Trout,LAA
2014,NL,Clayton Kershaw,LAD
2013,AL,Miguel Cabrera,DET
2013,NL,Andrew McCutchen,PIT
2012,AL,Miguel Cabrera,DET
2012,NL,Buster Posey,SFG
2011,AL,Justin Verlander,DET
2011,NL,Ryan Braun,MIL
2010,AL,Josh Hamilton,TEX
2010,NL,Joey Votto,CIN
2009,AL,Joe Mauer,MIN
2009,NL,Albert Pujols,STL
2008,AL,Dustin Pedroia,BOS
2008,NL,Albert Pujols,STL
2007,AL,Alex Rodriguez,NYY
2007,NL,Jimmy Rollins,PHI
2006,AL,Justin Morneau,MIN
2006,NL,Ryan Howard,PHI
2005,AL,Alex Rodriguez,NYY
2005,NL,Albert Pujols,STL
2004,AL,Vladimir Guerrero,ANA
2004,NL,Barry Bonds,SFG
2003,AL,Alex Rodriguez,TEX
2003,NL,Barry Bonds,SFG
2002,AL,Miguel Tejada,OAK
2002,NL,Barry Bonds,SFG
2001,AL,Ichiro Suzuki,SEA
2001,NL,Barry Bonds,SFG
2000,AL,Jason Giambi,OAK
2000,NL,Jeff Kent,SFG
1999,AL,Ivan Rodriguez,TEX
1999,NL,Chipper Jones,ATL
1998,AL,Juan Gonzalez,TEX
1998,NL,Sammy Sosa,CHC
1997,AL,Ken Griffey Jr.,SEA
1997,NL,Larry Walker,COL
1996,AL,Juan Gonzalez,TEX
1996,NL,Ken Caminiti,SDP
1995,AL,Mo Vaughn,BOS
1995,NL,Barry Larkin,CIN
1994,AL,Frank Thomas,CHW
1994,NL,Jeff Bagwell,HOU
1993,AL,Frank Thomas,CHW
1993,NL,Barry Bonds,SFG
1992,AL,Dennis Eckersley,OAK
1992,NL,Barry Bonds,PIT
1991,AL,Cal Ripken Jr.,BAL
1991,NL,Terry Pendleton,ATL
1990,AL,Rickey Henderson,OAK
1990,NL,Barry Bonds,PIT
1989,AL,Robin Yount,MIL
1989,NL,Kevin Mitchell,SFG
1988,AL,Jose Canseco,OAK
1988,NL,Kirk Gibson,LAD
1987,AL,George Bell,TOR
1987,NL,Andre Dawson,CHC
1986,AL,Roger Clemens,BOS
1986,NL,Mike Schmidt,PHI
1985,AL,Don Mattingly,NYY
1985,NL,Willie McGee,STL
