Value,Feature
749,Attendance_1
521,DayofWeek
446,Attendance_5
412,Attendance_4
408,last_game_w_l_ratio
399,Attendance_2
350,Attendance_3
338,VisitingTeamGameNumber
312,Date
309,last_game_record
278,opponent_season_end_runs_mean
257,DayofMonth
247,VisitingTeam
232,HomeTeamGameNumber
220,opponent_season_end_runs_allowed_mean
209,opponent_season_end_w_l_ratio
180,last_game_streak
180,HomeTeamOffense_Strickouts
175,HomeTeamDefense_Assists
160,season_end_runs_mean
160,VisitingTeamOffense_Strickouts
157,VisitingTeamDefense_Assists
154,VisitingTeamOffense_AtBats
145,HomeTeamOffense_AtBats
130,visiting_pitch10
130,VisitingTeamOffense_Hits
128,HomeTeamOffense_Hits
126,VisitingTeamOffense_LeftOnBase
119,visiting_bat10
118,HomeTeamOffense_LeftOnBase
116,visiting_field10
111,season_end_w_l_ratio
102,World_Series_Winner
102,VisitingTeamOffense_Doubles
99,previous_visiting_as_cnt
94,HomeTeamOffense_Walks
93,is_weekend
90,home_bat10
89,bat_avg_age
89,VisitingTeamOffense_Walks
89,HomeTeamOffense_Doubles
86,season_end_runs_allowed_mean
85,VisitingTeamPitchers_PitchersUsed
83,HomeTeamOffense_Homeruns
80,pitch_avg_age
74,VisitingTeamPitchers_IndividualEarnedRuns
71,previous_home_as_cnt
71,VisitingTeamOffense_Homeruns
71,VisitingTeamDefense_Errors
70,last_game_div_rank
70,HomeTeamPitchers_PitchersUsed
67,VisitingTeamOffense_RBIs
66,HomeTeamPitchers_IndividualEarnedRuns
65,VistingTeamScore
63,HomeTeamScore
62,visiting_as_cnt
61,HomeTeamOffense_RBIs
58,home_pitch10
54,VisitingTeamDefense_DoublePlays
52,HomeTeamDefense_Errors
51,home_field10
51,HomeTeamOffense_GroundedintoDoublePlay
50,home_as_cnt
48,VisitingTeamOffense_StolenBases
47,opponent_season_end_rank
41,NumberofOuts
40,HomeTeamDefense_DoublePlays
36,MVP_in_visitingteam
36,DayNight
35,VisitingTeamOffense_GroundedintoDoublePlay
34,HomeTeamOffense_SacrificeHits
33,VisitingTeamOffense_IntentionalWalks
31,VisitingTeamOffense_SacrificeHits
25,MVP_in_hometeam
24,VisitingTeamOffense_HitbyPitch
24,HomeTeamOffense_HitbyPitch
22,HomeTeamOffense_StolenBases
14,is_public_holiday
14,HomeTeamOffense_SacrificeFlies
11,VisitingTeamPitchers_WildPitches
11,HomeTeamOffense_IntentionalWalks
9,HomeTeamOffense_Triples
9,VisitingTeamOffense_SacrificeFlies
8,Month
7,HomeTeamPitchers_WildPitches
6,HomeTeamOffense_CaughtStealing
5,VisitingTeamOffense_CaughtStealing
4,VisitingTeamPitchers_TeamEarnedRuns
3,VisitingTeamLeague
1,holidayName
1,Year
1,VisitingTeamPitchers_Balks
1,VisitingTeamDefense_PassedBalls
1,HomeTeamPitchers_TeamEarnedRuns
1,HomeTeamDefense_PassedBalls
0,NFL_Team
0,HomeTeamLeague
0,HomeTeam_ws_winner
0,HomeTeamPitchers_Balks
0,HomeTeamOffense_AwardedFirstonCatcherInterference
0,Cy_Young_in_visitingteam
0,HomeTeamDefense_TriplePlays
0,HomeTeamDefense_PutOuts
0,HomeTeam
0,NBA_Team
0,Cy_Young_in_hometeam
0,NHL_Team
0,NumberofGames
0,VisitingTeamDefense_PutOuts
0,VisitingTeamDefense_TriplePlays
0,VisitingTeamOffense_AwardedFirstonCatcherInterference
0,VisitingTeamOffense_Triples
0,VisitingTeam_ws_winner
0,date_int
0,mean_attendance
0,opening_day
0,Capacity
