Value,Feature
414,Attendance_3
401,last_game_w_l_ratio
389,last_game_record
384,Attendance_5
384,Attendance_1
364,Attendance_4
357,Attendance_2
342,opponent_season_end_runs_mean
331,DayofMonth
316,opponent_season_end_runs_allowed_mean
313,VisitingTeamGameNumber
261,VisitingTeam
253,opponent_season_end_w_l_ratio
241,VisitingTeamOffense_Strickouts
229,HomeTeamOffense_Strickouts
228,Date
227,HomeTeamDefense_Assists
221,last_game_streak
214,HomeTeamOffense_LeftOnBase
211,VisitingTeamDefense_Assists
194,DayofWeek
191,HomeTeamOffense_AtBats
188,VisitingTeamOffense_LeftOnBase
188,HomeTeamOffense_Hits
170,VisitingTeamOffense_AtBats
159,visiting_pitch10
153,VisitingTeamOffense_Doubles
151,HomeTeamOffense_Doubles
150,HomeTeamOffense_Walks
142,VisitingTeamOffense_Hits
134,visiting_field10
132,VisitingTeamOffense_Walks
124,HomeTeamScore
123,visiting_bat10
120,HomeTeamGameNumber
116,visiting_as_cnt
116,HomeTeamPitchers_PitchersUsed
106,season_end_runs_allowed_mean
104,VistingTeamScore
102,VisitingTeamPitchers_IndividualEarnedRuns
95,HomeTeamOffense_RBIs
90,VisitingTeamDefense_DoublePlays
88,HomeTeamPitchers_IndividualEarnedRuns
87,previous_visiting_as_cnt
86,World_Series_Winner
85,season_end_runs_mean
84,VisitingTeamPitchers_PitchersUsed
75,home_pitch10
74,VisitingTeamOffense_Homeruns
72,HomeTeamOffense_Homeruns
69,HomeTeamDefense_Errors
68,home_field10
67,season_end_w_l_ratio
67,VisitingTeamDefense_Errors
66,VisitingTeamOffense_RBIs
65,opponent_season_end_rank
61,HomeTeamOffense_GroundedintoDoublePlay
60,VisitingTeamOffense_GroundedintoDoublePlay
57,pitch_avg_age
57,HomeTeamDefense_DoublePlays
57,home_bat10
56,home_as_cnt
54,VisitingTeamOffense_StolenBases
54,NumberofOuts
51,previous_home_as_cnt
50,DayNight
49,bat_avg_age
48,HomeTeamOffense_StolenBases
44,HomeTeamPitchers_WildPitches
43,HomeTeamOffense_SacrificeFlies
39,VisitingTeamOffense_HitbyPitch
38,last_game_div_rank
33,VisitingTeamPitchers_WildPitches
32,is_weekend
32,HomeTeamOffense_HitbyPitch
27,HomeTeamOffense_IntentionalWalks
21,MVP_in_hometeam
20,HomeTeamOffense_Triples
19,HomeTeamDefense_PassedBalls
16,VisitingTeamOffense_CaughtStealing
16,MVP_in_visitingteam
15,HomeTeamOffense_SacrificeHits
14,VisitingTeamOffense_SacrificeFlies
14,VisitingTeamOffense_Triples
13,VisitingTeamDefense_PassedBalls
10,HomeTeamOffense_CaughtStealing
10,VisitingTeamPitchers_TeamEarnedRuns
9,VisitingTeamOffense_SacrificeHits
7,VisitingTeamPitchers_Balks
6,VisitingTeamLeague
6,HomeTeamPitchers_TeamEarnedRuns
4,NumberofGames
4,NBA_Team
4,Month
3,HomeTeam_ws_winner
2,VisitingTeamOffense_IntentionalWalks
1,VisitingTeam_ws_winner
1,VisitingTeamDefense_PutOuts
0,HomeTeamDefense_TriplePlays
0,HomeTeamPitchers_Balks
0,HomeTeamOffense_AwardedFirstonCatcherInterference
0,HomeTeamLeague
0,NHL_Team
0,HomeTeamDefense_PutOuts
0,HomeTeam
0,Cy_Young_in_visitingteam
0,NFL_Team
0,Cy_Young_in_hometeam
0,VisitingTeamDefense_TriplePlays
0,VisitingTeamOffense_AwardedFirstonCatcherInterference
0,Year
0,date_int
0,holidayName
0,is_public_holiday
0,mean_attendance
0,opening_day
0,Capacity
