Value,Feature
376,Attendance_1
286,Attendance_5
254,Date
241,Attendance_3
233,DayofWeek
225,Attendance_4
222,last_game_w_l_ratio
205,Attendance_2
187,DayofMonth
160,HomeTeamGameNumber
151,opponent_season_end_runs_mean
147,VisitingTeamGameNumber
139,last_game_record
136,opponent_season_end_runs_allowed_mean
117,HomeTeamDefense_Assists
99,season_end_runs_mean
99,VisitingTeam
98,opponent_season_end_w_l_ratio
94,VisitingTeamDefense_Assists
88,last_game_streak
87,is_weekend
83,HomeTeamOffense_Strickouts
82,HomeTeamOffense_AtBats
81,HomeTeamOffense_LeftOnBase
78,VisitingTeamOffense_Strickouts
75,DayNight
71,HomeTeamOffense_Walks
66,visiting_bat10
66,home_bat10
61,VisitingTeamOffense_Doubles
59,visiting_as_cnt
59,VisitingTeamOffense_LeftOnBase
59,VisitingTeamOffense_AtBats
57,HomeTeamDefense_Errors
55,season_end_runs_allowed_mean
54,last_game_div_rank
54,VisitingTeamOffense_Hits
53,visiting_field10
52,VisitingTeamOffense_StolenBases
51,visiting_pitch10
50,HomeTeamScore
49,HomeTeamOffense_RBIs
48,HomeTeamOffense_Hits
48,HomeTeamPitchers_PitchersUsed
45,season_end_w_l_ratio
43,VistingTeamScore
43,VisitingTeamOffense_Walks
43,HomeTeamOffense_Doubles
41,home_field10
40,NumberofOuts
39,pitch_avg_age
39,World_Series_Winner
36,bat_avg_age
35,VisitingTeamPitchers_PitchersUsed
35,VisitingTeamDefense_Errors
34,VisitingTeamOffense_Homeruns
32,HomeTeamOffense_Homeruns
32,VisitingTeamPitchers_IndividualEarnedRuns
31,previous_visiting_as_cnt
31,VisitingTeamDefense_DoublePlays
30,home_pitch10
30,HomeTeamDefense_DoublePlays
26,VisitingTeamOffense_GroundedintoDoublePlay
25,HomeTeamPitchers_WildPitches
25,HomeTeamPitchers_IndividualEarnedRuns
25,HomeTeamOffense_GroundedintoDoublePlay
23,HomeTeamOffense_StolenBases
22,VisitingTeamOffense_RBIs
21,opponent_season_end_rank
19,VisitingTeamOffense_HitbyPitch
19,home_as_cnt
18,HomeTeamOffense_CaughtStealing
16,VisitingTeamPitchers_WildPitches
15,VisitingTeamOffense_CaughtStealing
14,previous_home_as_cnt
13,MVP_in_visitingteam
12,HomeTeamOffense_HitbyPitch
11,VisitingTeamOffense_SacrificeHits
11,HomeTeamPitchers_TeamEarnedRuns
10,HomeTeamOffense_SacrificeHits
9,HomeTeamOffense_IntentionalWalks
8,HomeTeamOffense_Triples
6,MVP_in_hometeam
5,VisitingTeamOffense_IntentionalWalks
5,VisitingTeamDefense_PassedBalls
5,HomeTeamOffense_SacrificeFlies
5,VisitingTeamPitchers_TeamEarnedRuns
5,Year
4,VisitingTeamOffense_SacrificeFlies
4,VisitingTeamLeague
2,Month
1,HomeTeam_ws_winner
1,HomeTeamDefense_PassedBalls
0,HomeTeamLeague
0,NFL_Team
0,NBA_Team
0,HomeTeamPitchers_Balks
0,HomeTeamOffense_AwardedFirstonCatcherInterference
0,HomeTeam
0,HomeTeamDefense_TriplePlays
0,HomeTeamDefense_PutOuts
0,Cy_Young_in_visitingteam
0,NumberofGames
0,NHL_Team
0,Cy_Young_in_hometeam
0,VisitingTeamDefense_PutOuts
0,VisitingTeamDefense_TriplePlays
0,VisitingTeamOffense_AwardedFirstonCatcherInterference
0,VisitingTeamOffense_Triples
0,VisitingTeamPitchers_Balks
0,VisitingTeam_ws_winner
0,date_int
0,holidayName
0,is_public_holiday
0,mean_attendance
0,opening_day
0,Capacity
