Value,Feature
913,Attendance_1
509,Attendance_4
477,Attendance_2
418,Attendance_5
386,last_game_w_l_ratio
369,DayofWeek
361,Attendance_3
328,last_game_record
313,VisitingTeamGameNumber
270,opponent_season_end_runs_allowed_mean
267,opponent_season_end_runs_mean
251,Date
242,VisitingTeam
235,DayofMonth
216,opponent_season_end_w_l_ratio
211,HomeTeamGameNumber
190,visiting_pitch10
174,VisitingTeamDefense_Assists
173,VisitingTeamOffense_Strickouts
158,HomeTeamOffense_Walks
149,HomeTeamOffense_Hits
139,last_game_streak
137,is_weekend
136,HomeTeamOffense_Strickouts
136,HomeTeamDefense_Assists
133,HomeTeamOffense_LeftOnBase
127,VisitingTeamOffense_AtBats
126,HomeTeamOffense_AtBats
122,VisitingTeamOffense_LeftOnBase
118,season_end_w_l_ratio
116,VisitingTeamOffense_Hits
114,VisitingTeamOffense_Walks
112,visiting_bat10
112,pitch_avg_age
109,bat_avg_age
108,season_end_runs_mean
105,VisitingTeamOffense_Doubles
102,previous_visiting_as_cnt
97,visiting_as_cnt
93,visiting_field10
93,season_end_runs_allowed_mean
89,VisitingTeamPitchers_IndividualEarnedRuns
89,VisitingTeamPitchers_PitchersUsed
86,World_Series_Winner
81,home_pitch10
77,HomeTeamOffense_Doubles
72,HomeTeamScore
71,VistingTeamScore
70,home_bat10
70,VisitingTeamOffense_Homeruns
70,DayNight
69,VisitingTeamDefense_Errors
66,HomeTeamPitchers_IndividualEarnedRuns
64,VisitingTeamOffense_RBIs
64,HomeTeamOffense_Homeruns
63,opponent_season_end_rank
61,HomeTeamOffense_RBIs
61,VisitingTeamOffense_StolenBases
60,NumberofOuts
60,MVP_in_hometeam
59,HomeTeamPitchers_PitchersUsed
58,HomeTeamOffense_StolenBases
55,HomeTeamDefense_Errors
48,VisitingTeamDefense_DoublePlays
44,home_field10
44,HomeTeamDefense_DoublePlays
43,previous_home_as_cnt
43,HomeTeamOffense_SacrificeHits
39,VisitingTeamOffense_GroundedintoDoublePlay
39,last_game_div_rank
38,HomeTeamOffense_GroundedintoDoublePlay
35,VisitingTeamOffense_HitbyPitch
27,HomeTeamOffense_HitbyPitch
27,MVP_in_visitingteam
22,HomeTeamOffense_Triples
20,VisitingTeamOffense_Triples
19,home_as_cnt
19,VisitingTeamPitchers_WildPitches
19,HomeTeamOffense_IntentionalWalks
18,VisitingTeamOffense_SacrificeFlies
18,HomeTeamPitchers_TeamEarnedRuns
15,HomeTeamPitchers_WildPitches
15,VisitingTeamOffense_SacrificeHits
14,HomeTeamOffense_SacrificeFlies
14,HomeTeamOffense_CaughtStealing
13,VisitingTeamOffense_IntentionalWalks
12,Month
12,HomeTeamDefense_PassedBalls
9,VisitingTeamOffense_CaughtStealing
7,VisitingTeamPitchers_TeamEarnedRuns
4,VisitingTeamLeague
3,HomeTeamPitchers_Balks
2,Year
1,VisitingTeam_ws_winner
0,NumberofGames
0,HomeTeamOffense_AwardedFirstonCatcherInterference
0,NFL_Team
0,NBA_Team
0,HomeTeam_ws_winner
0,HomeTeam
0,HomeTeamLeague
0,HomeTeamDefense_TriplePlays
0,HomeTeamDefense_PutOuts
0,Cy_Young_in_visitingteam
0,NHL_Team
0,Cy_Young_in_hometeam
0,VisitingTeamDefense_PassedBalls
0,VisitingTeamDefense_PutOuts
0,VisitingTeamDefense_TriplePlays
0,VisitingTeamOffense_AwardedFirstonCatcherInterference
0,VisitingTeamPitchers_Balks
0,date_int
0,holidayName
0,is_public_holiday
0,mean_attendance
0,opening_day
0,Capacity
