Value,Feature
1024,Attendance_1
499,DayofWeek
444,Attendance_5
385,Attendance_2
370,last_game_record
370,VisitingTeamGameNumber
363,Attendance_3
352,Attendance_4
326,last_game_w_l_ratio
324,opponent_season_end_runs_mean
322,Date
306,DayofMonth
258,opponent_season_end_runs_allowed_mean
253,HomeTeamGameNumber
181,opponent_season_end_w_l_ratio
177,VisitingTeam
160,last_game_streak
151,VisitingTeamOffense_Strickouts
147,HomeTeamDefense_Assists
136,is_weekend
136,VisitingTeamOffense_LeftOnBase
130,VisitingTeamDefense_Assists
129,visiting_pitch10
129,season_end_runs_mean
126,visiting_as_cnt
123,VisitingTeamOffense_AtBats
112,HomeTeamOffense_AtBats
111,HomeTeamOffense_Walks
110,HomeTeamOffense_Hits
107,HomeTeamOffense_Strickouts
107,DayNight
103,VisitingTeamOffense_Walks
99,HomeTeamOffense_LeftOnBase
96,season_end_runs_allowed_mean
87,visiting_field10
87,VisitingTeamOffense_Hits
83,pitch_avg_age
82,season_end_w_l_ratio
81,visiting_bat10
80,bat_avg_age
80,World_Series_Winner
77,previous_visiting_as_cnt
71,last_game_div_rank
67,VisitingTeamOffense_Homeruns
63,home_field10
63,VisitingTeamOffense_RBIs
63,HomeTeamOffense_Doubles
62,HomeTeamOffense_RBIs
60,home_pitch10
59,HomeTeamDefense_Errors
58,VisitingTeamDefense_DoublePlays
57,VisitingTeamOffense_Doubles
56,VisitingTeamPitchers_PitchersUsed
54,opponent_season_end_rank
53,home_bat10
52,VistingTeamScore
51,VisitingTeamPitchers_IndividualEarnedRuns
50,VisitingTeamOffense_GroundedintoDoublePlay
50,HomeTeamPitchers_PitchersUsed
48,VisitingTeamOffense_StolenBases
47,HomeTeamScore
43,VisitingTeamDefense_Errors
43,HomeTeamPitchers_IndividualEarnedRuns
42,HomeTeamOffense_StolenBases
39,NumberofOuts
39,HomeTeamOffense_IntentionalWalks
37,HomeTeamOffense_GroundedintoDoublePlay
36,HomeTeamOffense_Homeruns
34,HomeTeamDefense_DoublePlays
29,VisitingTeamLeague
23,previous_home_as_cnt
23,home_as_cnt
21,HomeTeamOffense_HitbyPitch
21,HomeTeamOffense_CaughtStealing
21,VisitingTeamOffense_HitbyPitch
21,MVP_in_visitingteam
19,VisitingTeamPitchers_WildPitches
19,HomeTeamPitchers_TeamEarnedRuns
15,HomeTeamOffense_SacrificeFlies
14,VisitingTeamOffense_CaughtStealing
13,VisitingTeamPitchers_TeamEarnedRuns
12,HomeTeamPitchers_WildPitches
8,VisitingTeamOffense_SacrificeFlies
7,VisitingTeamOffense_SacrificeHits
5,VisitingTeamOffense_Triples
5,HomeTeamOffense_SacrificeHits
4,HomeTeamOffense_Triples
3,HomeTeamDefense_PassedBalls
3,Month
2,Year
1,VisitingTeamOffense_IntentionalWalks
1,NumberofGames
0,NHL_Team
0,Cy_Young_in_visitingteam
0,HomeTeam
0,HomeTeamDefense_PutOuts
0,HomeTeamDefense_TriplePlays
0,HomeTeamLeague
0,HomeTeamOffense_AwardedFirstonCatcherInterference
0,HomeTeamPitchers_Balks
0,HomeTeam_ws_winner
0,MVP_in_hometeam
0,NBA_Team
0,NFL_Team
0,Cy_Young_in_hometeam
0,VisitingTeamDefense_PassedBalls
0,VisitingTeamDefense_PutOuts
0,VisitingTeamDefense_TriplePlays
0,VisitingTeamOffense_AwardedFirstonCatcherInterference
0,VisitingTeamPitchers_Balks
0,VisitingTeam_ws_winner
0,date_int
0,holidayName
0,is_public_holiday
0,mean_attendance
0,opening_day
0,Capacity
