Value,Feature
984,Attendance_1
680,Attendance_2
558,Attendance_5
553,DayofWeek
501,Attendance_4
488,Attendance_3
450,Date
447,VisitingTeamGameNumber
431,last_game_w_l_ratio
411,DayofMonth
329,opponent_season_end_runs_allowed_mean
325,last_game_record
264,opponent_season_end_runs_mean
250,opponent_season_end_w_l_ratio
228,HomeTeamGameNumber
211,last_game_streak
208,VisitingTeam
183,VisitingTeamDefense_Assists
162,VisitingTeamOffense_AtBats
159,HomeTeamDefense_Assists
153,DayNight
149,HomeTeamOffense_LeftOnBase
147,season_end_w_l_ratio
143,HomeTeamOffense_Walks
140,VisitingTeamOffense_Strickouts
135,HomeTeamOffense_Strickouts
135,HomeTeamOffense_AtBats
134,HomeTeamOffense_Hits
130,VisitingTeamOffense_Hits
130,bat_avg_age
128,visiting_field10
127,season_end_runs_mean
124,visiting_pitch10
123,is_weekend
120,VisitingTeamOffense_Walks
114,previous_visiting_as_cnt
114,World_Series_Winner
113,pitch_avg_age
113,VisitingTeamOffense_LeftOnBase
109,HomeTeamScore
102,HomeTeamOffense_Doubles
100,season_end_runs_allowed_mean
93,visiting_bat10
90,VisitingTeamOffense_Doubles
90,VisitingTeamPitchers_PitchersUsed
89,visiting_as_cnt
88,VisitingTeamDefense_Errors
85,HomeTeamPitchers_PitchersUsed
83,VistingTeamScore
83,HomeTeamPitchers_IndividualEarnedRuns
82,HomeTeamDefense_Errors
81,VisitingTeamPitchers_IndividualEarnedRuns
72,VisitingTeamOffense_RBIs
72,HomeTeamOffense_RBIs
66,HomeTeamOffense_Homeruns
61,previous_home_as_cnt
61,VisitingTeamPitchers_WildPitches
61,home_field10
60,opponent_season_end_rank
60,VisitingTeamOffense_Homeruns
56,VisitingTeamOffense_GroundedintoDoublePlay
54,VisitingTeamOffense_StolenBases
54,HomeTeamOffense_GroundedintoDoublePlay
53,home_bat10
50,VisitingTeamDefense_DoublePlays
48,NumberofOuts
42,home_pitch10
42,HomeTeamDefense_DoublePlays
41,last_game_div_rank
36,VisitingTeamOffense_HitbyPitch
35,HomeTeamOffense_SacrificeFlies
31,VisitingTeamOffense_Triples
31,home_as_cnt
30,HomeTeamOffense_Triples
23,VisitingTeamOffense_SacrificeFlies
21,Month
21,MVP_in_hometeam
21,HomeTeamOffense_StolenBases
20,HomeTeamPitchers_WildPitches
19,HomeTeamOffense_SacrificeHits
19,HomeTeamOffense_HitbyPitch
17,MVP_in_visitingteam
17,HomeTeamOffense_IntentionalWalks
16,VisitingTeamOffense_CaughtStealing
13,HomeTeamPitchers_TeamEarnedRuns
5,NBA_Team
5,HomeTeamOffense_CaughtStealing
4,VisitingTeamLeague
4,NumberofGames
4,VisitingTeamOffense_SacrificeHits
4,VisitingTeamOffense_IntentionalWalks
3,VisitingTeamPitchers_TeamEarnedRuns
1,HomeTeamDefense_PassedBalls
0,VisitingTeamDefense_PassedBalls
0,Cy_Young_in_visitingteam
0,HomeTeam
0,HomeTeamDefense_PutOuts
0,HomeTeamDefense_TriplePlays
0,HomeTeamLeague
0,HomeTeamOffense_AwardedFirstonCatcherInterference
0,HomeTeamPitchers_Balks
0,HomeTeam_ws_winner
0,NFL_Team
0,NHL_Team
0,Cy_Young_in_hometeam
0,VisitingTeamDefense_PutOuts
0,VisitingTeamDefense_TriplePlays
0,VisitingTeamOffense_AwardedFirstonCatcherInterference
0,VisitingTeamPitchers_Balks
0,VisitingTeam_ws_winner
0,Year
0,date_int
0,holidayName
0,is_public_holiday
0,mean_attendance
0,opening_day
0,Capacity
