Value,Feature
810,Attendance_1
525,DayofWeek
420,Attendance_5
399,Attendance_2
372,Attendance_4
348,last_game_w_l_ratio
321,Attendance_3
278,VisitingTeamGameNumber
268,opponent_season_end_runs_mean
242,last_game_record
216,Date
215,DayofMonth
214,opponent_season_end_runs_allowed_mean
209,last_game_streak
178,VisitingTeam
166,HomeTeamGameNumber
165,is_weekend
158,opponent_season_end_w_l_ratio
142,HomeTeamOffense_Strickouts
141,pitch_avg_age
138,VisitingTeamDefense_Assists
130,season_end_runs_mean
129,HomeTeamOffense_AtBats
115,season_end_w_l_ratio
110,HomeTeamOffense_Hits
107,HomeTeamDefense_Assists
101,visiting_pitch10
95,VisitingTeamOffense_LeftOnBase
94,HomeTeamOffense_LeftOnBase
94,VisitingTeamOffense_AtBats
91,VisitingTeamDefense_Errors
90,VisitingTeamOffense_Hits
86,VisitingTeamOffense_Strickouts
85,VisitingTeamPitchers_WildPitches
83,visiting_field10
83,visiting_bat10
78,VisitingTeamOffense_Walks
78,VisitingTeamOffense_StolenBases
73,bat_avg_age
73,HomeTeamOffense_RBIs
71,VisitingTeamPitchers_PitchersUsed
71,VisitingTeamPitchers_IndividualEarnedRuns
70,HomeTeamPitchers_PitchersUsed
70,World_Series_Winner
69,visiting_as_cnt
67,VisitingTeamOffense_Homeruns
67,HomeTeamPitchers_IndividualEarnedRuns
67,HomeTeamOffense_Doubles
64,HomeTeamOffense_StolenBases
63,HomeTeamDefense_Errors
62,HomeTeamOffense_Walks
61,VisitingTeamOffense_Doubles
60,VistingTeamScore
60,NumberofOuts
58,home_bat10
56,HomeTeamOffense_Homeruns
54,season_end_runs_allowed_mean
53,last_game_div_rank
50,HomeTeamDefense_DoublePlays
49,HomeTeamScore
44,MVP_in_visitingteam
41,VisitingTeamOffense_RBIs
40,previous_visiting_as_cnt
40,home_field10
39,home_as_cnt
39,HomeTeamOffense_IntentionalWalks
37,opponent_season_end_rank
35,home_pitch10
35,DayNight
33,HomeTeamOffense_GroundedintoDoublePlay
32,VisitingTeamOffense_GroundedintoDoublePlay
31,HomeTeamPitchers_WildPitches
21,MVP_in_hometeam
19,VisitingTeamDefense_DoublePlays
14,Month
13,VisitingTeamOffense_SacrificeHits
13,HomeTeamOffense_SacrificeHits
12,VisitingTeamOffense_IntentionalWalks
10,HomeTeamLeague
10,VisitingTeamOffense_HitbyPitch
10,HomeTeamOffense_Triples
8,HomeTeamPitchers_TeamEarnedRuns
7,VisitingTeamOffense_Triples
7,HomeTeamOffense_CaughtStealing
6,previous_home_as_cnt
6,VisitingTeam_ws_winner
5,HomeTeamOffense_SacrificeFlies
5,HomeTeamOffense_HitbyPitch
4,VisitingTeamOffense_CaughtStealing
4,VisitingTeamOffense_SacrificeFlies
3,VisitingTeamLeague
3,NBA_Team
2,VisitingTeamPitchers_TeamEarnedRuns
2,HomeTeamDefense_PassedBalls
1,Year
1,VisitingTeamPitchers_Balks
0,NumberofGames
0,HomeTeamOffense_AwardedFirstonCatcherInterference
0,NFL_Team
0,HomeTeam_ws_winner
0,HomeTeamPitchers_Balks
0,Cy_Young_in_visitingteam
0,HomeTeamDefense_TriplePlays
0,HomeTeamDefense_PutOuts
0,HomeTeam
0,NHL_Team
0,Cy_Young_in_hometeam
0,VisitingTeamDefense_PassedBalls
0,VisitingTeamDefense_PutOuts
0,VisitingTeamDefense_TriplePlays
0,VisitingTeamOffense_AwardedFirstonCatcherInterference
0,date_int
0,holidayName
0,is_public_holiday
0,mean_attendance
0,opening_day
0,Capacity
