Value,Feature
1330,Attendance_1
901,Attendance_5
846,Attendance_4
828,Attendance_2
768,DayofWeek
695,Attendance_3
628,last_game_record
615,opponent_season_end_runs_mean
600,last_game_w_l_ratio
595,Date
548,DayofMonth
525,VisitingTeamGameNumber
462,opponent_season_end_runs_allowed_mean
404,opponent_season_end_w_l_ratio
358,VisitingTeam
349,season_end_w_l_ratio
338,VisitingTeamDefense_Assists
337,HomeTeamOffense_Strickouts
314,VisitingTeamOffense_Strickouts
306,last_game_streak
295,HomeTeamDefense_Assists
293,HomeTeamGameNumber
255,HomeTeamOffense_AtBats
254,VisitingTeamOffense_Hits
243,VisitingTeamOffense_AtBats
239,HomeTeamOffense_LeftOnBase
236,visiting_bat10
232,visiting_pitch10
226,HomeTeamOffense_Hits
219,VisitingTeamOffense_LeftOnBase
218,visiting_field10
213,VisitingTeamOffense_Walks
199,season_end_runs_allowed_mean
193,bat_avg_age
183,HomeTeamOffense_Walks
181,VisitingTeamPitchers_PitchersUsed
179,VisitingTeamOffense_Doubles
178,HomeTeamPitchers_IndividualEarnedRuns
176,HomeTeamOffense_Doubles
165,pitch_avg_age
163,VistingTeamScore
160,season_end_runs_mean
157,World_Series_Winner
157,home_pitch10
156,visiting_as_cnt
144,VisitingTeamPitchers_IndividualEarnedRuns
141,previous_visiting_as_cnt
136,HomeTeamScore
132,opponent_season_end_rank
129,HomeTeamPitchers_PitchersUsed
128,HomeTeamOffense_RBIs
120,VisitingTeamOffense_RBIs
117,VisitingTeamDefense_Errors
115,HomeTeamOffense_Homeruns
113,is_weekend
107,HomeTeamDefense_Errors
107,HomeTeamDefense_DoublePlays
106,last_game_div_rank
106,VisitingTeamOffense_Homeruns
103,HomeTeamOffense_StolenBases
94,HomeTeamPitchers_WildPitches
93,VisitingTeamOffense_GroundedintoDoublePlay
89,VisitingTeamDefense_DoublePlays
84,HomeTeamOffense_GroundedintoDoublePlay
82,home_field10
68,NumberofOuts
63,HomeTeamOffense_HitbyPitch
55,VisitingTeamOffense_StolenBases
52,VisitingTeamPitchers_WildPitches
50,MVP_in_visitingteam
47,VisitingTeamOffense_HitbyPitch
44,HomeTeamOffense_Triples
42,DayNight
42,VisitingTeamOffense_SacrificeFlies
36,home_bat10
30,VisitingTeamOffense_Triples
30,HomeTeamOffense_SacrificeHits
29,VisitingTeamLeague
29,HomeTeamOffense_SacrificeFlies
25,HomeTeamOffense_IntentionalWalks
24,VisitingTeamOffense_SacrificeHits
19,HomeTeamOffense_CaughtStealing
19,HomeTeamPitchers_TeamEarnedRuns
19,Month
15,VisitingTeamOffense_CaughtStealing
13,VisitingTeamOffense_IntentionalWalks
8,previous_home_as_cnt
8,VisitingTeamPitchers_TeamEarnedRuns
7,VisitingTeamDefense_PassedBalls
7,VisitingTeamPitchers_Balks
6,home_as_cnt
3,is_public_holiday
3,HomeTeamPitchers_Balks
2,Year
1,MVP_in_hometeam
1,VisitingTeam_ws_winner
1,NumberofGames
1,HomeTeamDefense_PassedBalls
0,HomeTeamDefense_TriplePlays
0,HomeTeam_ws_winner
0,HomeTeamOffense_AwardedFirstonCatcherInterference
0,HomeTeamLeague
0,NFL_Team
0,HomeTeamDefense_PutOuts
0,HomeTeam
0,Cy_Young_in_visitingteam
0,NBA_Team
0,Cy_Young_in_hometeam
0,NHL_Team
0,VisitingTeamDefense_PutOuts
0,VisitingTeamDefense_TriplePlays
0,VisitingTeamOffense_AwardedFirstonCatcherInterference
0,date_int
0,holidayName
0,mean_attendance
0,opening_day
0,Capacity
