Value,Feature
274,Attendance_1
168,DayofWeek
127,Attendance_2
113,Attendance_5
110,VisitingTeamGameNumber
106,DayofMonth
105,last_game_w_l_ratio
94,is_weekend
94,Attendance_3
92,opponent_season_end_runs_mean
92,VisitingTeam
92,Date
88,World_Series_Winner
85,Attendance_4
83,last_game_record
73,HomeTeamGameNumber
72,opponent_season_end_w_l_ratio
57,pitch_avg_age
52,HomeTeamDefense_Assists
49,opponent_season_end_runs_allowed_mean
47,HomeTeamOffense_Hits
45,VisitingTeamOffense_Strickouts
43,DayNight
42,HomeTeamOffense_Doubles
41,HomeTeamOffense_Strickouts
40,season_end_runs_mean
39,HomeTeamPitchers_PitchersUsed
35,HomeTeamOffense_LeftOnBase
32,VisitingTeamDefense_Assists
32,visiting_as_cnt
31,last_game_streak
30,visiting_field10
30,season_end_w_l_ratio
30,bat_avg_age
29,VisitingTeamOffense_Doubles
26,previous_home_as_cnt
26,HomeTeamOffense_Walks
25,visiting_pitch10
25,visiting_bat10
25,VisitingTeamPitchers_PitchersUsed
23,VisitingTeamDefense_DoublePlays
23,VisitingTeamOffense_Walks
23,VisitingTeamOffense_LeftOnBase
23,home_pitch10
22,VisitingTeamOffense_Hits
21,last_game_div_rank
21,home_field10
21,VisitingTeamOffense_AtBats
20,HomeTeamOffense_RBIs
19,season_end_runs_allowed_mean
19,HomeTeamPitchers_IndividualEarnedRuns
16,VistingTeamScore
16,HomeTeamScore
15,VisitingTeamOffense_RBIs
13,HomeTeamOffense_AtBats
13,previous_visiting_as_cnt
12,HomeTeamOffense_Homeruns
12,opponent_season_end_rank
11,home_bat10
10,VisitingTeamOffense_Homeruns
10,HomeTeamOffense_CaughtStealing
10,HomeTeamDefense_DoublePlays
9,HomeTeamOffense_StolenBases
8,VisitingTeamOffense_SacrificeHits
8,HomeTeamOffense_GroundedintoDoublePlay
8,HomeTeamDefense_Errors
7,VisitingTeamPitchers_IndividualEarnedRuns
7,VisitingTeamOffense_StolenBases
7,NumberofOuts
6,VisitingTeamOffense_SacrificeFlies
6,VisitingTeamDefense_Errors
6,MVP_in_visitingteam
5,HomeTeamPitchers_WildPitches
5,VisitingTeamOffense_CaughtStealing
5,home_as_cnt
4,VisitingTeamOffense_HitbyPitch
3,VisitingTeamPitchers_WildPitches
3,VisitingTeamPitchers_TeamEarnedRuns
3,VisitingTeamOffense_GroundedintoDoublePlay
3,HomeTeamPitchers_TeamEarnedRuns
3,HomeTeamOffense_HitbyPitch
3,HomeTeamOffense_SacrificeHits
2,VisitingTeamOffense_IntentionalWalks
2,Month
2,HomeTeamOffense_Triples
2,HomeTeamOffense_SacrificeFlies
2,HomeTeamOffense_IntentionalWalks
1,VisitingTeamDefense_PutOuts
1,MVP_in_hometeam
1,VisitingTeamOffense_Triples
0,NumberofGames
0,Cy_Young_in_visitingteam
0,HomeTeam
0,HomeTeamDefense_PassedBalls
0,HomeTeamDefense_PutOuts
0,HomeTeamDefense_TriplePlays
0,HomeTeamLeague
0,HomeTeamOffense_AwardedFirstonCatcherInterference
0,HomeTeamPitchers_Balks
0,HomeTeam_ws_winner
0,NBA_Team
0,NFL_Team
0,NHL_Team
0,Cy_Young_in_hometeam
0,VisitingTeamDefense_PassedBalls
0,VisitingTeamDefense_TriplePlays
0,VisitingTeamLeague
0,VisitingTeamOffense_AwardedFirstonCatcherInterference
0,VisitingTeamPitchers_Balks
0,VisitingTeam_ws_winner
0,Year
0,date_int
0,holidayName
0,is_public_holiday
0,mean_attendance
0,opening_day
0,Capacity
