Value,Feature
1686,Attendance_1
1025,Attendance_5
987,Attendance_2
986,Attendance_3
981,Attendance_4
701,last_game_w_l_ratio
648,VisitingTeamGameNumber
638,opponent_season_end_runs_allowed_mean
628,DayofMonth
619,last_game_record
612,Date
595,DayofWeek
586,opponent_season_end_runs_mean
489,VisitingTeam
434,opponent_season_end_w_l_ratio
430,VisitingTeamDefense_Assists
411,last_game_streak
402,VisitingTeamOffense_Strickouts
389,HomeTeamDefense_Assists
355,VisitingTeamOffense_AtBats
331,visiting_pitch10
323,HomeTeamOffense_Strickouts
314,VisitingTeamOffense_LeftOnBase
312,HomeTeamOffense_AtBats
302,VisitingTeamOffense_Hits
287,HomeTeamOffense_LeftOnBase
285,HomeTeamOffense_Hits
276,HomeTeamGameNumber
244,visiting_field10
242,HomeTeamOffense_Walks
237,VisitingTeamPitchers_PitchersUsed
229,VisitingTeamOffense_Walks
226,visiting_bat10
225,pitch_avg_age
216,World_Series_Winner
212,visiting_as_cnt
204,HomeTeamScore
197,season_end_runs_allowed_mean
195,HomeTeamPitchers_PitchersUsed
192,bat_avg_age
190,HomeTeamOffense_Doubles
190,VistingTeamScore
187,season_end_w_l_ratio
182,VisitingTeamOffense_Homeruns
176,season_end_runs_mean
174,previous_visiting_as_cnt
171,HomeTeamOffense_RBIs
166,VisitingTeamOffense_Doubles
158,VisitingTeamPitchers_IndividualEarnedRuns
154,is_weekend
151,HomeTeamPitchers_IndividualEarnedRuns
148,VisitingTeamDefense_Errors
146,home_field10
142,VisitingTeamOffense_RBIs
129,HomeTeamOffense_Homeruns
121,VisitingTeamOffense_GroundedintoDoublePlay
118,HomeTeamDefense_Errors
118,opponent_season_end_rank
111,VisitingTeamOffense_StolenBases
109,HomeTeamOffense_GroundedintoDoublePlay
108,last_game_div_rank
101,home_bat10
99,HomeTeamDefense_DoublePlays
98,VisitingTeamDefense_DoublePlays
97,HomeTeamOffense_StolenBases
93,home_pitch10
93,DayNight
88,NumberofOuts
83,home_as_cnt
81,HomeTeamOffense_HitbyPitch
78,previous_home_as_cnt
78,VisitingTeamPitchers_WildPitches
62,VisitingTeamOffense_HitbyPitch
54,MVP_in_visitingteam
53,HomeTeamPitchers_WildPitches
44,VisitingTeamOffense_SacrificeFlies
43,VisitingTeamOffense_SacrificeHits
36,HomeTeamOffense_SacrificeFlies
34,HomeTeamOffense_Triples
30,VisitingTeamLeague
30,VisitingTeamOffense_CaughtStealing
27,HomeTeamOffense_CaughtStealing
26,MVP_in_hometeam
25,HomeTeamOffense_IntentionalWalks
22,HomeTeamOffense_SacrificeHits
20,VisitingTeamDefense_PassedBalls
20,Month
20,VisitingTeamOffense_IntentionalWalks
16,VisitingTeamPitchers_TeamEarnedRuns
16,VisitingTeamOffense_Triples
14,HomeTeamPitchers_TeamEarnedRuns
4,HomeTeamDefense_PassedBalls
2,NBA_Team
1,HomeTeamPitchers_Balks
1,Capacity
0,HomeTeamOffense_AwardedFirstonCatcherInterference
0,NHL_Team
0,NFL_Team
0,HomeTeam_ws_winner
0,HomeTeam
0,HomeTeamLeague
0,HomeTeamDefense_TriplePlays
0,HomeTeamDefense_PutOuts
0,VisitingTeamDefense_PutOuts
0,NumberofGames
0,Cy_Young_in_visitingteam
0,VisitingTeamDefense_TriplePlays
0,VisitingTeamOffense_AwardedFirstonCatcherInterference
0,VisitingTeamPitchers_Balks
0,VisitingTeam_ws_winner
0,Year
0,date_int
0,holidayName
0,is_public_holiday
0,mean_attendance
0,opening_day
0,Cy_Young_in_hometeam
