Value,Feature
846,Attendance_1
523,opponent_season_end_runs_allowed_mean
503,Attendance_3
502,DayofWeek
491,Date
470,Attendance_2
461,Attendance_4
459,last_game_w_l_ratio
431,VisitingTeam
422,Attendance_5
400,DayofMonth
390,last_game_record
375,opponent_season_end_runs_mean
360,VisitingTeamGameNumber
341,opponent_season_end_w_l_ratio
259,last_game_streak
244,HomeTeamDefense_Assists
227,season_end_w_l_ratio
210,HomeTeamGameNumber
203,VisitingTeamDefense_Assists
197,visiting_pitch10
184,season_end_runs_mean
180,VisitingTeamOffense_Strickouts
175,HomeTeamOffense_Strickouts
171,HomeTeamOffense_AtBats
168,VisitingTeamOffense_Hits
167,VisitingTeamOffense_Walks
152,VisitingTeamOffense_LeftOnBase
151,is_weekend
146,visiting_as_cnt
144,VisitingTeamOffense_AtBats
140,season_end_runs_allowed_mean
136,DayNight
135,bat_avg_age
134,VisitingTeamOffense_Doubles
134,HomeTeamOffense_Hits
130,pitch_avg_age
126,last_game_div_rank
126,VisitingTeamDefense_Errors
121,previous_visiting_as_cnt
120,World_Series_Winner
120,visiting_field10
116,HomeTeamOffense_LeftOnBase
115,HomeTeamOffense_Walks
113,visiting_bat10
111,home_field10
111,HomeTeamOffense_Doubles
109,HomeTeamScore
101,HomeTeamPitchers_PitchersUsed
96,VisitingTeamPitchers_PitchersUsed
88,HomeTeamPitchers_IndividualEarnedRuns
85,MVP_in_visitingteam
80,VistingTeamScore
80,VisitingTeamPitchers_IndividualEarnedRuns
79,HomeTeamOffense_Homeruns
74,home_pitch10
73,opponent_season_end_rank
69,HomeTeamOffense_GroundedintoDoublePlay
68,VisitingTeamOffense_Homeruns
67,VisitingTeamDefense_DoublePlays
67,VisitingTeamOffense_StolenBases
65,HomeTeamDefense_DoublePlays
64,HomeTeamOffense_RBIs
63,VisitingTeamOffense_RBIs
62,HomeTeamDefense_Errors
59,previous_home_as_cnt
56,HomeTeamOffense_StolenBases
49,VisitingTeamOffense_GroundedintoDoublePlay
46,NumberofOuts
41,VisitingTeamPitchers_WildPitches
39,HomeTeamPitchers_WildPitches
33,home_bat10
27,is_public_holiday
26,home_as_cnt
26,VisitingTeamOffense_CaughtStealing
21,HomeTeamOffense_SacrificeFlies
18,VisitingTeamOffense_SacrificeFlies
18,VisitingTeamOffense_HitbyPitch
18,VisitingTeamLeague
18,Month
13,VisitingTeamOffense_SacrificeHits
13,VisitingTeamOffense_Triples
12,VisitingTeam_ws_winner
11,VisitingTeamOffense_IntentionalWalks
10,HomeTeamOffense_HitbyPitch
8,HomeTeamOffense_IntentionalWalks
8,HomeTeamPitchers_TeamEarnedRuns
6,HomeTeamOffense_CaughtStealing
4,VisitingTeamPitchers_TeamEarnedRuns
4,MVP_in_hometeam
4,HomeTeamOffense_SacrificeHits
3,HomeTeamOffense_Triples
2,Year
0,NFL_Team
0,Cy_Young_in_visitingteam
0,HomeTeam
0,HomeTeamDefense_PassedBalls
0,HomeTeamDefense_PutOuts
0,HomeTeamDefense_TriplePlays
0,HomeTeamLeague
0,HomeTeamOffense_AwardedFirstonCatcherInterference
0,HomeTeamPitchers_Balks
0,HomeTeam_ws_winner
0,NBA_Team
0,Cy_Young_in_hometeam
0,NHL_Team
0,NumberofGames
0,VisitingTeamDefense_PassedBalls
0,VisitingTeamDefense_PutOuts
0,VisitingTeamDefense_TriplePlays
0,VisitingTeamOffense_AwardedFirstonCatcherInterference
0,VisitingTeamPitchers_Balks
0,date_int
0,holidayName
0,mean_attendance
0,opening_day
0,Capacity
