Value,Feature
240,Attendance_1
121,Attendance_5
117,Attendance_2
112,last_game_w_l_ratio
111,Attendance_3
103,DayofWeek
102,Attendance_4
98,Date
88,VisitingTeamGameNumber
74,last_game_record
74,DayofMonth
70,opponent_season_end_runs_mean
66,opponent_season_end_runs_allowed_mean
66,VisitingTeam
57,bat_avg_age
50,last_game_streak
49,HomeTeamGameNumber
48,HomeTeamDefense_Assists
45,opponent_season_end_w_l_ratio
40,VisitingTeamOffense_Strickouts
39,season_end_runs_allowed_mean
37,VisitingTeamOffense_LeftOnBase
36,season_end_runs_mean
34,VisitingTeamOffense_Doubles
34,HomeTeamOffense_Walks
34,HomeTeamOffense_AtBats
33,pitch_avg_age
33,HomeTeamOffense_LeftOnBase
32,HomeTeamOffense_Doubles
32,VisitingTeamOffense_Hits
30,visiting_pitch10
30,VisitingTeamOffense_Walks
29,HomeTeamOffense_Hits
27,VisitingTeamOffense_AtBats
27,HomeTeamOffense_Strickouts
26,HomeTeamDefense_Errors
25,visiting_bat10
25,is_weekend
24,VisitingTeamDefense_Assists
23,World_Series_Winner
22,VistingTeamScore
22,VisitingTeamPitchers_PitchersUsed
20,home_field10
20,VisitingTeamOffense_Homeruns
20,previous_visiting_as_cnt
19,season_end_w_l_ratio
19,HomeTeamOffense_RBIs
18,VisitingTeamPitchers_IndividualEarnedRuns
17,HomeTeamOffense_Homeruns
17,DayNight
15,visiting_field10
15,last_game_div_rank
14,HomeTeamOffense_GroundedintoDoublePlay
14,visiting_as_cnt
14,previous_home_as_cnt
14,HomeTeamScore
13,home_as_cnt
13,opponent_season_end_rank
13,VisitingTeamOffense_RBIs
13,VisitingTeamOffense_GroundedintoDoublePlay
12,HomeTeamPitchers_PitchersUsed
12,HomeTeamOffense_SacrificeHits
11,home_pitch10
11,VisitingTeamDefense_Errors
11,NumberofOuts
11,HomeTeamPitchers_IndividualEarnedRuns
11,HomeTeamOffense_HitbyPitch
10,VisitingTeamOffense_StolenBases
10,VisitingTeamDefense_DoublePlays
9,HomeTeamDefense_DoublePlays
9,HomeTeamOffense_StolenBases
7,HomeTeamOffense_SacrificeFlies
7,VisitingTeamOffense_CaughtStealing
6,home_bat10
6,MVP_in_visitingteam
6,HomeTeamOffense_IntentionalWalks
5,VisitingTeamOffense_IntentionalWalks
5,VisitingTeamOffense_HitbyPitch
5,HomeTeamPitchers_WildPitches
4,VisitingTeamOffense_SacrificeHits
4,HomeTeamOffense_Triples
4,VisitingTeamLeague
4,VisitingTeamOffense_Triples
3,Month
3,HomeTeamDefense_PassedBalls
2,MVP_in_hometeam
2,HomeTeamOffense_CaughtStealing
2,VisitingTeamPitchers_WildPitches
1,Year
1,VisitingTeamPitchers_TeamEarnedRuns
1,VisitingTeamOffense_SacrificeFlies
1,VisitingTeamDefense_PassedBalls
1,NumberofGames
1,HomeTeamPitchers_TeamEarnedRuns
0,HomeTeamLeague
0,NBA_Team
0,HomeTeam_ws_winner
0,HomeTeamPitchers_Balks
0,HomeTeamOffense_AwardedFirstonCatcherInterference
0,HomeTeam
0,HomeTeamDefense_TriplePlays
0,HomeTeamDefense_PutOuts
0,NHL_Team
0,Cy_Young_in_visitingteam
0,NFL_Team
0,Cy_Young_in_hometeam
0,VisitingTeamDefense_PutOuts
0,VisitingTeamDefense_TriplePlays
0,VisitingTeamOffense_AwardedFirstonCatcherInterference
0,VisitingTeamPitchers_Balks
0,VisitingTeam_ws_winner
0,date_int
0,holidayName
0,is_public_holiday
0,mean_attendance
0,opening_day
0,Capacity
