Value,Feature
537,Attendance_1
286,Attendance_2
269,DayofWeek
265,Attendance_5
244,Attendance_4
232,Attendance_3
202,last_game_w_l_ratio
194,opponent_season_end_runs_allowed_mean
191,Date
187,last_game_record
169,VisitingTeam
162,opponent_season_end_runs_mean
160,VisitingTeamGameNumber
149,DayofMonth
149,opponent_season_end_w_l_ratio
143,HomeTeamGameNumber
120,HomeTeamDefense_Assists
100,pitch_avg_age
100,VisitingTeamOffense_Strickouts
94,last_game_streak
83,VisitingTeamDefense_Assists
79,VisitingTeamOffense_LeftOnBase
77,VisitingTeamOffense_AtBats
74,HomeTeamOffense_Walks
73,HomeTeamOffense_Strickouts
72,is_weekend
71,visiting_pitch10
67,HomeTeamOffense_Hits
65,VisitingTeamOffense_Walks
63,season_end_runs_mean
63,HomeTeamOffense_LeftOnBase
62,HomeTeamOffense_AtBats
60,visiting_field10
60,visiting_bat10
59,visiting_as_cnt
59,World_Series_Winner
52,season_end_runs_allowed_mean
50,VisitingTeamOffense_Hits
49,season_end_w_l_ratio
49,HomeTeamPitchers_PitchersUsed
49,HomeTeamOffense_Homeruns
47,VisitingTeamOffense_Doubles
45,VistingTeamScore
44,VisitingTeamPitchers_IndividualEarnedRuns
44,HomeTeamScore
42,HomeTeamOffense_Doubles
41,VisitingTeamPitchers_PitchersUsed
41,HomeTeamOffense_RBIs
39,opponent_season_end_rank
39,HomeTeamDefense_DoublePlays
38,home_field10
37,bat_avg_age
37,VisitingTeamOffense_Homeruns
37,VisitingTeamDefense_DoublePlays
37,HomeTeamDefense_Errors
35,HomeTeamOffense_CaughtStealing
34,HomeTeamOffense_GroundedintoDoublePlay
33,VisitingTeamDefense_Errors
33,DayNight
32,MVP_in_visitingteam
32,HomeTeamPitchers_IndividualEarnedRuns
32,previous_visiting_as_cnt
31,VisitingTeamOffense_StolenBases
31,HomeTeamOffense_StolenBases
29,VisitingTeamOffense_GroundedintoDoublePlay
28,home_pitch10
27,last_game_div_rank
25,VisitingTeamOffense_RBIs
24,home_as_cnt
21,VisitingTeamOffense_SacrificeHits
18,HomeTeamPitchers_WildPitches
18,VisitingTeamOffense_Triples
17,NumberofOuts
16,previous_home_as_cnt
16,home_bat10
14,VisitingTeamOffense_CaughtStealing
13,Month
12,HomeTeamOffense_SacrificeFlies
11,VisitingTeamOffense_HitbyPitch
10,HomeTeamOffense_Triples
9,HomeTeamOffense_SacrificeHits
8,VisitingTeamLeague
8,HomeTeamPitchers_TeamEarnedRuns
8,HomeTeamOffense_IntentionalWalks
6,VisitingTeamOffense_SacrificeFlies
4,VisitingTeamDefense_PassedBalls
3,VisitingTeamOffense_IntentionalWalks
2,HomeTeamDefense_PassedBalls
2,HomeTeamOffense_HitbyPitch
1,VisitingTeamPitchers_WildPitches
1,MVP_in_hometeam
0,NumberofGames
0,Cy_Young_in_visitingteam
0,HomeTeam
0,HomeTeamDefense_PutOuts
0,HomeTeamDefense_TriplePlays
0,HomeTeamLeague
0,HomeTeamOffense_AwardedFirstonCatcherInterference
0,HomeTeamPitchers_Balks
0,HomeTeam_ws_winner
0,NBA_Team
0,NFL_Team
0,NHL_Team
0,Cy_Young_in_hometeam
0,VisitingTeamDefense_PutOuts
0,VisitingTeamDefense_TriplePlays
0,VisitingTeamOffense_AwardedFirstonCatcherInterference
0,VisitingTeamPitchers_Balks
0,VisitingTeamPitchers_TeamEarnedRuns
0,VisitingTeam_ws_winner
0,Year
0,date_int
0,holidayName
0,is_public_holiday
0,mean_attendance
0,opening_day
0,Capacity
