Value,Feature
1041,Attendance_1
569,Attendance_4
563,Attendance_5
560,Attendance_3
558,Attendance_2
409,last_game_w_l_ratio
408,Date
391,last_game_record
381,opponent_season_end_runs_allowed_mean
380,opponent_season_end_runs_mean
337,DayofMonth
323,VisitingTeam
317,VisitingTeamGameNumber
285,DayofWeek
275,opponent_season_end_w_l_ratio
263,VisitingTeamDefense_Assists
210,HomeTeamDefense_Assists
204,HomeTeamOffense_Strickouts
203,last_game_streak
192,HomeTeamGameNumber
191,HomeTeamOffense_AtBats
189,VisitingTeamOffense_Strickouts
168,VisitingTeamOffense_Walks
167,pitch_avg_age
162,bat_avg_age
162,VisitingTeamOffense_AtBats
151,VisitingTeamOffense_LeftOnBase
149,VisitingTeamOffense_Hits
149,HomeTeamOffense_LeftOnBase
146,HomeTeamOffense_Hits
143,visiting_pitch10
135,season_end_runs_allowed_mean
134,VisitingTeamOffense_Doubles
133,visiting_bat10
124,World_Series_Winner
123,HomeTeamOffense_Walks
122,season_end_runs_mean
120,visiting_field10
115,visiting_as_cnt
112,season_end_w_l_ratio
107,VistingTeamScore
106,DayNight
106,HomeTeamOffense_Doubles
103,VisitingTeamDefense_Errors
102,HomeTeamOffense_Homeruns
95,previous_visiting_as_cnt
90,HomeTeamScore
88,VisitingTeamPitchers_PitchersUsed
88,VisitingTeamOffense_Homeruns
87,HomeTeamPitchers_IndividualEarnedRuns
85,HomeTeamPitchers_PitchersUsed
83,VisitingTeamPitchers_IndividualEarnedRuns
81,HomeTeamOffense_RBIs
74,HomeTeamDefense_Errors
71,VisitingTeamDefense_DoublePlays
71,VisitingTeamOffense_RBIs
70,opponent_season_end_rank
68,VisitingTeamOffense_StolenBases
64,VisitingTeamOffense_GroundedintoDoublePlay
63,HomeTeamDefense_DoublePlays
62,home_pitch10
60,NumberofOuts
58,home_field10
57,HomeTeamOffense_HitbyPitch
56,last_game_div_rank
53,HomeTeamOffense_GroundedintoDoublePlay
52,previous_home_as_cnt
51,VisitingTeamOffense_HitbyPitch
50,MVP_in_visitingteam
47,home_as_cnt
44,home_bat10
41,HomeTeamOffense_StolenBases
38,VisitingTeamOffense_CaughtStealing
36,HomeTeamPitchers_WildPitches
35,VisitingTeamOffense_SacrificeFlies
33,VisitingTeamPitchers_WildPitches
30,is_weekend
25,HomeTeamOffense_SacrificeFlies
18,Month
15,HomeTeamOffense_Triples
14,HomeTeamOffense_SacrificeHits
13,HomeTeamOffense_IntentionalWalks
13,VisitingTeamOffense_SacrificeHits
12,HomeTeamDefense_PassedBalls
11,VisitingTeamPitchers_TeamEarnedRuns
10,VisitingTeamOffense_IntentionalWalks
8,HomeTeamPitchers_TeamEarnedRuns
7,VisitingTeamOffense_Triples
6,HomeTeamOffense_CaughtStealing
6,VisitingTeamDefense_PassedBalls
5,is_public_holiday
5,VisitingTeamLeague
5,MVP_in_hometeam
1,Year
0,NHL_Team
0,HomeTeamOffense_AwardedFirstonCatcherInterference
0,NBA_Team
0,HomeTeam_ws_winner
0,HomeTeamPitchers_Balks
0,HomeTeam
0,HomeTeamLeague
0,HomeTeamDefense_TriplePlays
0,HomeTeamDefense_PutOuts
0,Cy_Young_in_visitingteam
0,NFL_Team
0,Cy_Young_in_hometeam
0,NumberofGames
0,VisitingTeamDefense_PutOuts
0,VisitingTeamDefense_TriplePlays
0,VisitingTeamOffense_AwardedFirstonCatcherInterference
0,VisitingTeamPitchers_Balks
0,VisitingTeam_ws_winner
0,date_int
0,holidayName
0,mean_attendance
0,opening_day
0,Capacity
