Value,Feature
1105,Attendance_1
616,Attendance_4
582,Attendance_2
576,Attendance_5
516,Date
458,Attendance_3
434,last_game_record
414,VisitingTeamGameNumber
372,DayofWeek
331,opponent_season_end_runs_allowed_mean
323,DayofMonth
297,last_game_w_l_ratio
265,VisitingTeam
258,opponent_season_end_runs_mean
189,last_game_streak
173,opponent_season_end_w_l_ratio
169,is_weekend
156,VisitingTeamOffense_Strickouts
155,visiting_bat10
153,visiting_pitch10
151,VisitingTeamOffense_LeftOnBase
150,HomeTeamOffense_Strickouts
148,season_end_w_l_ratio
145,HomeTeamGameNumber
143,HomeTeamDefense_Assists
132,HomeTeamOffense_LeftOnBase
125,HomeTeamOffense_Walks
125,HomeTeamOffense_Doubles
123,VisitingTeamOffense_AtBats
123,VisitingTeamOffense_Hits
122,VisitingTeamOffense_Walks
118,VisitingTeamDefense_Assists
116,visiting_field10
106,HomeTeamOffense_Hits
105,DayNight
102,season_end_runs_mean
99,HomeTeamScore
97,VisitingTeamOffense_Doubles
94,HomeTeamOffense_AtBats
87,previous_visiting_as_cnt
85,bat_avg_age
82,visiting_as_cnt
79,VistingTeamScore
79,pitch_avg_age
78,World_Series_Winner
68,VisitingTeamPitchers_PitchersUsed
68,VisitingTeamDefense_Errors
65,season_end_runs_allowed_mean
65,HomeTeamPitchers_PitchersUsed
65,HomeTeamDefense_Errors
63,home_bat10
62,VisitingTeamPitchers_IndividualEarnedRuns
62,HomeTeamPitchers_IndividualEarnedRuns
61,last_game_div_rank
56,HomeTeamOffense_RBIs
56,VisitingTeamOffense_StolenBases
48,NumberofOuts
48,VisitingTeamOffense_GroundedintoDoublePlay
46,opponent_season_end_rank
46,HomeTeamOffense_Homeruns
45,VisitingTeamOffense_RBIs
42,home_pitch10
41,VisitingTeamOffense_CaughtStealing
40,home_field10
40,HomeTeamOffense_StolenBases
37,VisitingTeamDefense_DoublePlays
34,home_as_cnt
33,VisitingTeamOffense_Homeruns
32,HomeTeamOffense_GroundedintoDoublePlay
31,VisitingTeamOffense_HitbyPitch
30,MVP_in_visitingteam
27,Capacity
27,HomeTeamDefense_DoublePlays
24,HomeTeamOffense_HitbyPitch
23,HomeTeamPitchers_WildPitches
20,HomeTeamOffense_IntentionalWalks
19,VisitingTeamOffense_SacrificeHits
19,NumberofGames
18,HomeTeamOffense_SacrificeHits
16,previous_home_as_cnt
16,VisitingTeamOffense_IntentionalWalks
13,VisitingTeamLeague
11,VisitingTeamPitchers_WildPitches
10,HomeTeamPitchers_TeamEarnedRuns
9,HomeTeamOffense_CaughtStealing
8,VisitingTeamOffense_SacrificeFlies
7,HomeTeamDefense_PassedBalls
5,Month
5,HomeTeamOffense_SacrificeFlies
5,is_public_holiday
4,HomeTeamOffense_Triples
3,VisitingTeamPitchers_Balks
3,VisitingTeamOffense_Triples
2,Year
1,VisitingTeamPitchers_TeamEarnedRuns
1,VisitingTeamDefense_PassedBalls
1,MVP_in_hometeam
0,NFL_Team
0,HomeTeam
0,HomeTeamDefense_PutOuts
0,HomeTeamDefense_TriplePlays
0,HomeTeamLeague
0,HomeTeamOffense_AwardedFirstonCatcherInterference
0,HomeTeamPitchers_Balks
0,HomeTeam_ws_winner
0,NBA_Team
0,Cy_Young_in_visitingteam
0,NHL_Team
0,VisitingTeamDefense_PutOuts
0,VisitingTeamDefense_TriplePlays
0,VisitingTeamOffense_AwardedFirstonCatcherInterference
0,VisitingTeam_ws_winner
0,date_int
0,holidayName
0,mean_attendance
0,opening_day
0,Cy_Young_in_hometeam
