Value,Feature
361,Date
352,Attendance_1
284,DayofWeek
232,Attendance_2
184,Attendance_4
165,Attendance_5
150,Attendance_3
148,last_game_w_l_ratio
144,opponent_season_end_runs_allowed_mean
130,opponent_season_end_w_l_ratio
130,last_game_record
122,VisitingTeamGameNumber
122,DayofMonth
116,VisitingTeam
116,opponent_season_end_runs_mean
99,HomeTeamDefense_Assists
87,is_weekend
84,DayNight
74,last_game_streak
71,visiting_as_cnt
71,VisitingTeamOffense_Hits
69,HomeTeamGameNumber
63,visiting_field10
62,VisitingTeamDefense_Assists
59,VisitingTeamOffense_Strickouts
54,VisitingTeamOffense_AtBats
54,HomeTeamOffense_Strickouts
49,HomeTeamOffense_Doubles
47,VisitingTeamOffense_LeftOnBase
45,HomeTeamOffense_AtBats
45,visiting_bat10
42,season_end_runs_mean
42,VisitingTeamOffense_StolenBases
42,HomeTeamOffense_RBIs
40,season_end_runs_allowed_mean
40,World_Series_Winner
40,VisitingTeamDefense_Errors
38,HomeTeamOffense_LeftOnBase
36,pitch_avg_age
36,HomeTeamOffense_Hits
33,visiting_pitch10
33,bat_avg_age
31,HomeTeamOffense_GroundedintoDoublePlay
30,opponent_season_end_rank
30,VisitingTeamPitchers_PitchersUsed
30,VisitingTeamOffense_RBIs
30,HomeTeamPitchers_IndividualEarnedRuns
30,HomeTeamOffense_Walks
30,HomeTeamOffense_Homeruns
29,previous_visiting_as_cnt
29,home_pitch10
29,HomeTeamPitchers_PitchersUsed
28,VistingTeamScore
28,VisitingTeamPitchers_IndividualEarnedRuns
28,VisitingTeamOffense_Doubles
28,home_field10
28,season_end_w_l_ratio
27,HomeTeamScore
25,NumberofOuts
24,VisitingTeamOffense_Walks
24,HomeTeamOffense_StolenBases
21,VisitingTeamDefense_DoublePlays
20,last_game_div_rank
20,VisitingTeamOffense_GroundedintoDoublePlay
19,HomeTeamDefense_Errors
18,previous_home_as_cnt
18,VisitingTeamOffense_Homeruns
15,VisitingTeamOffense_CaughtStealing
14,home_as_cnt
13,VisitingTeamOffense_HitbyPitch
12,home_bat10
12,MVP_in_visitingteam
12,HomeTeamDefense_DoublePlays
11,VisitingTeamPitchers_TeamEarnedRuns
11,VisitingTeamLeague
9,VisitingTeamOffense_SacrificeFlies
8,HomeTeamOffense_SacrificeHits
8,HomeTeamOffense_CaughtStealing
7,HomeTeamOffense_SacrificeFlies
6,HomeTeamPitchers_WildPitches
5,Month
5,MVP_in_hometeam
5,Year
4,HomeTeamOffense_HitbyPitch
4,VisitingTeamPitchers_WildPitches
4,VisitingTeamOffense_SacrificeHits
4,HomeTeamPitchers_TeamEarnedRuns
2,HomeTeamOffense_IntentionalWalks
1,HomeTeamOffense_Triples
1,HomeTeamDefense_PassedBalls
0,VisitingTeamDefense_PassedBalls
0,Cy_Young_in_visitingteam
0,HomeTeam
0,HomeTeamDefense_PutOuts
0,HomeTeamDefense_TriplePlays
0,HomeTeamLeague
0,HomeTeamOffense_AwardedFirstonCatcherInterference
0,HomeTeamPitchers_Balks
0,HomeTeam_ws_winner
0,NBA_Team
0,NFL_Team
0,NHL_Team
0,NumberofGames
0,Cy_Young_in_hometeam
0,VisitingTeamDefense_PutOuts
0,VisitingTeamDefense_TriplePlays
0,VisitingTeamOffense_AwardedFirstonCatcherInterference
0,VisitingTeamOffense_IntentionalWalks
0,VisitingTeamOffense_Triples
0,VisitingTeamPitchers_Balks
0,VisitingTeam_ws_winner
0,date_int
0,holidayName
0,is_public_holiday
0,mean_attendance
0,opening_day
0,Capacity
