Value,Feature
247,Attendance_1
162,Attendance_2
148,Attendance_5
142,DayofWeek
130,last_game_record
130,Attendance_4
127,last_game_w_l_ratio
127,Date
118,VisitingTeam
116,Attendance_3
108,DayofMonth
107,opponent_season_end_runs_mean
102,opponent_season_end_w_l_ratio
91,opponent_season_end_runs_allowed_mean
77,VisitingTeamGameNumber
66,VisitingTeamDefense_Assists
65,last_game_streak
60,VisitingTeamOffense_LeftOnBase
58,visiting_field10
57,VisitingTeamOffense_Strickouts
54,VisitingTeamOffense_AtBats
52,HomeTeamGameNumber
50,HomeTeamDefense_Assists
48,VisitingTeamOffense_Walks
47,visiting_pitch10
47,HomeTeamOffense_Hits
46,HomeTeamOffense_Strickouts
45,HomeTeamOffense_LeftOnBase
44,season_end_runs_allowed_mean
41,VisitingTeamOffense_Doubles
41,HomeTeamOffense_AtBats
40,is_weekend
39,HomeTeamPitchers_PitchersUsed
38,visiting_bat10
38,World_Series_Winner
35,VisitingTeamPitchers_PitchersUsed
34,pitch_avg_age
33,season_end_w_l_ratio
33,HomeTeamOffense_Homeruns
33,HomeTeamOffense_Doubles
32,VisitingTeamOffense_Hits
31,HomeTeamOffense_Walks
30,HomeTeamOffense_GroundedintoDoublePlay
30,season_end_runs_mean
27,bat_avg_age
27,VisitingTeamOffense_RBIs
26,visiting_as_cnt
26,last_game_div_rank
26,VisitingTeamPitchers_IndividualEarnedRuns
25,home_pitch10
25,VisitingTeamOffense_Homeruns
22,VisitingTeamOffense_StolenBases
21,home_as_cnt
20,home_field10
19,home_bat10
19,opponent_season_end_rank
18,HomeTeamOffense_Triples
18,NumberofOuts
18,HomeTeamDefense_Errors
17,VisitingTeamPitchers_WildPitches
16,HomeTeamPitchers_IndividualEarnedRuns
16,HomeTeamOffense_RBIs
15,VisitingTeamOffense_SacrificeHits
14,VistingTeamScore
14,VisitingTeamDefense_DoublePlays
14,HomeTeamScore
13,previous_visiting_as_cnt
13,VisitingTeamOffense_GroundedintoDoublePlay
11,HomeTeamDefense_DoublePlays
10,MVP_in_visitingteam
9,DayNight
8,VisitingTeamDefense_Errors
8,HomeTeamPitchers_WildPitches
7,VisitingTeamOffense_SacrificeFlies
7,HomeTeamOffense_StolenBases
6,VisitingTeam_ws_winner
6,VisitingTeamPitchers_TeamEarnedRuns
6,VisitingTeamOffense_IntentionalWalks
6,HomeTeamOffense_IntentionalWalks
5,VisitingTeamOffense_HitbyPitch
5,HomeTeamOffense_SacrificeFlies
4,HomeTeamOffense_SacrificeHits
4,HomeTeamOffense_HitbyPitch
4,previous_home_as_cnt
4,VisitingTeamOffense_Triples
4,HomeTeamDefense_PassedBalls
4,HomeTeamOffense_CaughtStealing
3,Month
2,HomeTeamPitchers_TeamEarnedRuns
2,VisitingTeamLeague
1,Year
1,VisitingTeamOffense_CaughtStealing
1,VisitingTeamDefense_PassedBalls
1,HomeTeam_ws_winner
0,NHL_Team
0,HomeTeamOffense_AwardedFirstonCatcherInterference
0,NBA_Team
0,MVP_in_hometeam
0,HomeTeamPitchers_Balks
0,HomeTeam
0,HomeTeamLeague
0,HomeTeamDefense_TriplePlays
0,HomeTeamDefense_PutOuts
0,Cy_Young_in_visitingteam
0,NFL_Team
0,Cy_Young_in_hometeam
0,NumberofGames
0,VisitingTeamDefense_PutOuts
0,VisitingTeamDefense_TriplePlays
0,VisitingTeamOffense_AwardedFirstonCatcherInterference
0,VisitingTeamPitchers_Balks
0,date_int
0,holidayName
0,is_public_holiday
0,mean_attendance
0,opening_day
0,Capacity
