Value,Feature
757,Attendance_1
382,Attendance_2
379,Date
371,Attendance_5
328,Attendance_4
314,last_game_w_l_ratio
297,Attendance_3
247,last_game_record
247,VisitingTeam
243,opponent_season_end_runs_mean
226,VisitingTeamGameNumber
205,DayofWeek
183,DayofMonth
174,opponent_season_end_runs_allowed_mean
168,opponent_season_end_w_l_ratio
164,HomeTeamGameNumber
137,VisitingTeamDefense_Assists
130,last_game_streak
127,VisitingTeamOffense_Strickouts
122,HomeTeamDefense_Assists
112,HomeTeamOffense_Strickouts
100,HomeTeamOffense_AtBats
94,HomeTeamOffense_LeftOnBase
92,VisitingTeamOffense_AtBats
91,is_weekend
91,VisitingTeamOffense_Hits
90,season_end_w_l_ratio
88,HomeTeamOffense_Walks
86,visiting_as_cnt
85,HomeTeamOffense_Doubles
84,VisitingTeamOffense_Walks
83,visiting_pitch10
81,visiting_field10
80,VisitingTeamOffense_LeftOnBase
78,HomeTeamOffense_Hits
76,World_Series_Winner
67,visiting_bat10
67,previous_visiting_as_cnt
66,pitch_avg_age
64,home_pitch10
63,HomeTeamOffense_RBIs
63,home_field10
62,VisitingTeamOffense_Doubles
62,season_end_runs_allowed_mean
59,HomeTeamScore
58,season_end_runs_mean
58,VisitingTeamDefense_DoublePlays
57,VistingTeamScore
57,HomeTeamOffense_Homeruns
50,HomeTeamPitchers_IndividualEarnedRuns
47,VisitingTeamPitchers_IndividualEarnedRuns
47,VisitingTeamOffense_GroundedintoDoublePlay
45,VisitingTeamOffense_RBIs
44,HomeTeamDefense_Errors
43,VisitingTeamOffense_Homeruns
42,HomeTeamDefense_DoublePlays
40,VisitingTeamDefense_Errors
40,VisitingTeamPitchers_PitchersUsed
39,HomeTeamPitchers_PitchersUsed
38,last_game_div_rank
37,home_bat10
36,DayNight
34,bat_avg_age
32,HomeTeamOffense_GroundedintoDoublePlay
30,VisitingTeamOffense_StolenBases
28,NumberofOuts
25,opponent_season_end_rank
24,HomeTeamOffense_SacrificeFlies
22,VisitingTeamLeague
21,HomeTeamOffense_StolenBases
21,HomeTeamOffense_IntentionalWalks
20,HomeTeamOffense_HitbyPitch
20,previous_home_as_cnt
17,HomeTeamPitchers_WildPitches
16,VisitingTeamOffense_HitbyPitch
14,VisitingTeamOffense_CaughtStealing
11,VisitingTeamPitchers_WildPitches
11,MVP_in_visitingteam
10,HomeTeamOffense_CaughtStealing
9,HomeTeamPitchers_TeamEarnedRuns
8,home_as_cnt
8,VisitingTeamOffense_IntentionalWalks
7,VisitingTeamOffense_SacrificeHits
7,VisitingTeamOffense_SacrificeFlies
6,NumberofGames
5,MVP_in_hometeam
5,HomeTeamOffense_Triples
4,Month
4,HomeTeamOffense_SacrificeHits
4,VisitingTeamPitchers_TeamEarnedRuns
4,VisitingTeamOffense_Triples
2,Year
2,HomeTeamDefense_PassedBalls
1,VisitingTeam_ws_winner
1,HomeTeamPitchers_Balks
0,NHL_Team
0,Cy_Young_in_visitingteam
0,HomeTeam
0,HomeTeamDefense_PutOuts
0,HomeTeamDefense_TriplePlays
0,HomeTeamLeague
0,HomeTeamOffense_AwardedFirstonCatcherInterference
0,HomeTeam_ws_winner
0,NBA_Team
0,NFL_Team
0,Cy_Young_in_hometeam
0,VisitingTeamDefense_PassedBalls
0,VisitingTeamDefense_PutOuts
0,VisitingTeamDefense_TriplePlays
0,VisitingTeamOffense_AwardedFirstonCatcherInterference
0,VisitingTeamPitchers_Balks
0,date_int
0,holidayName
0,is_public_holiday
0,mean_attendance
0,opening_day
0,Capacity
