Value,Feature
511,Attendance_1
296,Attendance_2
294,Attendance_5
272,VisitingTeamGameNumber
253,DayofWeek
230,Attendance_3
214,last_game_w_l_ratio
201,HomeTeamGameNumber
193,Date
186,last_game_record
181,Attendance_4
172,DayofMonth
157,opponent_season_end_runs_mean
140,opponent_season_end_runs_allowed_mean
111,VisitingTeamOffense_Strickouts
110,opponent_season_end_w_l_ratio
108,VisitingTeamOffense_AtBats
98,is_weekend
96,last_game_streak
96,VisitingTeam
87,bat_avg_age
87,VisitingTeamDefense_Assists
87,HomeTeamDefense_Assists
83,pitch_avg_age
78,HomeTeamOffense_LeftOnBase
73,visiting_field10
72,HomeTeamOffense_Hits
65,HomeTeamOffense_AtBats
63,season_end_runs_allowed_mean
59,VisitingTeamOffense_Walks
59,VisitingTeamOffense_LeftOnBase
56,season_end_w_l_ratio
54,season_end_runs_mean
54,HomeTeamOffense_Walks
54,HomeTeamOffense_Strickouts
52,visiting_pitch10
49,World_Series_Winner
48,visiting_as_cnt
45,VisitingTeamOffense_GroundedintoDoublePlay
43,VisitingTeamOffense_Doubles
42,VisitingTeamOffense_Hits
41,previous_visiting_as_cnt
40,VisitingTeamDefense_DoublePlays
40,VisitingTeamOffense_StolenBases
38,home_bat10
38,VisitingTeamPitchers_IndividualEarnedRuns
37,home_pitch10
35,VisitingTeamPitchers_PitchersUsed
35,HomeTeamPitchers_PitchersUsed
35,HomeTeamOffense_StolenBases
35,HomeTeamOffense_Doubles
34,VisitingTeamOffense_Homeruns
33,visiting_bat10
33,HomeTeamScore
32,NumberofOuts
32,VistingTeamScore
30,HomeTeamOffense_Homeruns
28,VisitingTeamOffense_RBIs
28,HomeTeamOffense_GroundedintoDoublePlay
27,VisitingTeamDefense_Errors
26,opponent_season_end_rank
26,HomeTeamOffense_RBIs
25,last_game_div_rank
25,HomeTeamPitchers_IndividualEarnedRuns
22,previous_home_as_cnt
21,HomeTeamDefense_Errors
20,MVP_in_visitingteam
19,HomeTeamDefense_DoublePlays
17,home_field10
17,VisitingTeamOffense_HitbyPitch
16,DayNight
12,VisitingTeamPitchers_WildPitches
12,home_as_cnt
11,NumberofGames
11,HomeTeamOffense_SacrificeHits
11,HomeTeamOffense_SacrificeFlies
10,HomeTeamOffense_HitbyPitch
9,HomeTeamOffense_CaughtStealing
7,VisitingTeamOffense_IntentionalWalks
7,Month
7,HomeTeamPitchers_WildPitches
5,VisitingTeamOffense_CaughtStealing
4,VisitingTeamOffense_SacrificeFlies
4,VisitingTeamLeague
3,MVP_in_hometeam
3,HomeTeamDefense_PassedBalls
3,HomeTeam_ws_winner
3,VisitingTeamOffense_SacrificeHits
3,VisitingTeamPitchers_TeamEarnedRuns
2,Year
2,HomeTeamPitchers_TeamEarnedRuns
1,VisitingTeamOffense_Triples
1,VisitingTeamDefense_PassedBalls
1,HomeTeamOffense_IntentionalWalks
0,HomeTeamLeague
0,NBA_Team
0,HomeTeamPitchers_Balks
0,HomeTeamOffense_Triples
0,HomeTeamOffense_AwardedFirstonCatcherInterference
0,HomeTeam
0,HomeTeamDefense_TriplePlays
0,HomeTeamDefense_PutOuts
0,Cy_Young_in_visitingteam
0,NHL_Team
0,NFL_Team
0,Cy_Young_in_hometeam
0,VisitingTeamDefense_PutOuts
0,VisitingTeamDefense_TriplePlays
0,VisitingTeamOffense_AwardedFirstonCatcherInterference
0,VisitingTeamPitchers_Balks
0,VisitingTeam_ws_winner
0,date_int
0,holidayName
0,is_public_holiday
0,mean_attendance
0,opening_day
0,Capacity
