Value,Feature
746,Attendance_1
479,Attendance_2
411,Attendance_4
410,Attendance_5
391,Attendance_3
365,last_game_record
355,last_game_w_l_ratio
318,Date
308,VisitingTeamGameNumber
287,opponent_season_end_runs_mean
277,VisitingTeam
276,DayofMonth
276,opponent_season_end_runs_allowed_mean
268,DayofWeek
217,opponent_season_end_w_l_ratio
204,HomeTeamGameNumber
176,last_game_streak
173,VisitingTeamOffense_Strickouts
167,HomeTeamDefense_Assists
157,HomeTeamOffense_LeftOnBase
138,VisitingTeamDefense_Assists
136,VisitingTeamOffense_LeftOnBase
135,HomeTeamOffense_Strickouts
129,visiting_field10
124,visiting_bat10
124,VisitingTeamOffense_AtBats
122,is_weekend
119,HomeTeamOffense_AtBats
113,VisitingTeamOffense_Walks
112,World_Series_Winner
109,HomeTeamOffense_Hits
107,HomeTeamOffense_Homeruns
106,VisitingTeamOffense_Hits
102,season_end_runs_mean
102,HomeTeamOffense_Walks
100,visiting_pitch10
92,season_end_w_l_ratio
89,season_end_runs_allowed_mean
89,pitch_avg_age
88,VisitingTeamPitchers_IndividualEarnedRuns
85,visiting_as_cnt
84,HomeTeamScore
83,VistingTeamScore
83,bat_avg_age
80,VisitingTeamDefense_Errors
78,VisitingTeamOffense_Homeruns
73,VisitingTeamOffense_RBIs
71,VisitingTeamDefense_DoublePlays
69,VisitingTeamOffense_Doubles
69,HomeTeamOffense_RBIs
68,HomeTeamPitchers_PitchersUsed
67,last_game_div_rank
66,HomeTeamPitchers_IndividualEarnedRuns
66,HomeTeamOffense_GroundedintoDoublePlay
64,HomeTeamDefense_Errors
60,opponent_season_end_rank
60,HomeTeamOffense_Doubles
53,VisitingTeamPitchers_WildPitches
53,VisitingTeamPitchers_PitchersUsed
52,DayNight
51,VisitingTeamOffense_StolenBases
47,HomeTeamOffense_StolenBases
47,HomeTeamDefense_DoublePlays
45,previous_visiting_as_cnt
45,VisitingTeamOffense_GroundedintoDoublePlay
43,home_pitch10
42,NumberofOuts
41,HomeTeamOffense_HitbyPitch
35,HomeTeamOffense_SacrificeHits
32,home_field10
31,home_bat10
30,HomeTeamOffense_CaughtStealing
29,HomeTeamDefense_PassedBalls
29,HomeTeamOffense_Triples
27,VisitingTeamOffense_SacrificeHits
26,previous_home_as_cnt
26,VisitingTeamOffense_Triples
26,VisitingTeamOffense_HitbyPitch
21,VisitingTeamOffense_SacrificeFlies
21,home_as_cnt
20,HomeTeamPitchers_WildPitches
18,VisitingTeamOffense_IntentionalWalks
16,MVP_in_visitingteam
15,VisitingTeamOffense_CaughtStealing
13,Month
11,HomeTeamOffense_IntentionalWalks
11,MVP_in_hometeam
9,VisitingTeamPitchers_TeamEarnedRuns
6,VisitingTeamLeague
6,HomeTeamOffense_SacrificeFlies
5,VisitingTeamPitchers_Balks
1,HomeTeamPitchers_TeamEarnedRuns
0,NumberofGames
0,Cy_Young_in_visitingteam
0,HomeTeam
0,HomeTeamDefense_PutOuts
0,HomeTeamDefense_TriplePlays
0,HomeTeamLeague
0,HomeTeamOffense_AwardedFirstonCatcherInterference
0,HomeTeamPitchers_Balks
0,HomeTeam_ws_winner
0,NBA_Team
0,NFL_Team
0,NHL_Team
0,Cy_Young_in_hometeam
0,VisitingTeamDefense_PassedBalls
0,VisitingTeamDefense_PutOuts
0,VisitingTeamDefense_TriplePlays
0,VisitingTeamOffense_AwardedFirstonCatcherInterference
0,VisitingTeam_ws_winner
0,Year
0,date_int
0,holidayName
0,is_public_holiday
0,mean_attendance
0,opening_day
0,Capacity
