Value,Feature
755,Attendance_1
478,DayofWeek
446,Attendance_2
419,Attendance_5
395,Date
388,Attendance_3
323,Attendance_4
313,last_game_record
304,last_game_w_l_ratio
292,VisitingTeam
262,DayofMonth
241,VisitingTeamGameNumber
241,opponent_season_end_runs_allowed_mean
222,opponent_season_end_runs_mean
199,opponent_season_end_w_l_ratio
183,HomeTeamGameNumber
172,HomeTeamDefense_Assists
167,last_game_streak
164,is_weekend
155,VisitingTeamDefense_Assists
139,HomeTeamOffense_Strickouts
131,VisitingTeamOffense_AtBats
131,HomeTeamOffense_LeftOnBase
128,VisitingTeamOffense_Strickouts
123,VisitingTeamOffense_LeftOnBase
114,visiting_as_cnt
111,HomeTeamOffense_AtBats
108,VisitingTeamOffense_Walks
104,VisitingTeamOffense_Hits
102,visiting_field10
102,home_field10
102,DayNight
96,HomeTeamOffense_Walks
90,visiting_bat10
89,HomeTeamOffense_Hits
88,visiting_pitch10
87,HomeTeamOffense_RBIs
86,season_end_runs_mean
86,season_end_runs_allowed_mean
86,pitch_avg_age
82,VisitingTeamOffense_Doubles
73,VisitingTeamOffense_Homeruns
73,World_Series_Winner
69,VisitingTeamPitchers_IndividualEarnedRuns
66,season_end_w_l_ratio
65,bat_avg_age
65,VisitingTeamOffense_RBIs
63,NumberofOuts
59,last_game_div_rank
59,HomeTeamOffense_Doubles
57,HomeTeamScore
56,opponent_season_end_rank
56,VisitingTeamPitchers_PitchersUsed
56,VisitingTeamDefense_Errors
55,MVP_in_hometeam
55,home_bat10
53,HomeTeamOffense_GroundedintoDoublePlay
51,previous_visiting_as_cnt
51,VistingTeamScore
51,HomeTeamOffense_StolenBases
51,HomeTeamPitchers_PitchersUsed
45,VisitingTeamOffense_GroundedintoDoublePlay
39,home_pitch10
39,VisitingTeamOffense_StolenBases
39,HomeTeamDefense_Errors
38,HomeTeamOffense_Homeruns
37,VisitingTeamLeague
34,HomeTeamPitchers_IndividualEarnedRuns
32,HomeTeamDefense_DoublePlays
31,HomeTeamOffense_SacrificeHits
29,previous_home_as_cnt
28,HomeTeamOffense_HitbyPitch
27,MVP_in_visitingteam
25,VisitingTeamDefense_DoublePlays
21,VisitingTeamOffense_SacrificeHits
19,VisitingTeamOffense_HitbyPitch
18,home_as_cnt
16,HomeTeamPitchers_WildPitches
16,HomeTeamOffense_CaughtStealing
13,VisitingTeamOffense_IntentionalWalks
13,HomeTeamOffense_IntentionalWalks
12,HomeTeamOffense_SacrificeFlies
11,VisitingTeamOffense_SacrificeFlies
7,VisitingTeamPitchers_WildPitches
7,HomeTeamOffense_Triples
4,HomeTeamPitchers_TeamEarnedRuns
4,VisitingTeamOffense_CaughtStealing
2,Month
1,Year
1,HomeTeamDefense_PassedBalls
0,VisitingTeamDefense_PassedBalls
0,Cy_Young_in_visitingteam
0,HomeTeam
0,HomeTeamDefense_PutOuts
0,HomeTeamDefense_TriplePlays
0,HomeTeamLeague
0,HomeTeamOffense_AwardedFirstonCatcherInterference
0,HomeTeamPitchers_Balks
0,HomeTeam_ws_winner
0,NBA_Team
0,NFL_Team
0,NHL_Team
0,NumberofGames
0,Cy_Young_in_hometeam
0,VisitingTeamDefense_PutOuts
0,VisitingTeamDefense_TriplePlays
0,VisitingTeamOffense_AwardedFirstonCatcherInterference
0,VisitingTeamOffense_Triples
0,VisitingTeamPitchers_Balks
0,VisitingTeamPitchers_TeamEarnedRuns
0,VisitingTeam_ws_winner
0,date_int
0,holidayName
0,is_public_holiday
0,mean_attendance
0,opening_day
0,Capacity
