Value,Feature
538,Attendance_1
293,Attendance_4
289,Attendance_3
263,Date
254,Attendance_2
239,DayofWeek
226,Attendance_5
197,opponent_season_end_runs_allowed_mean
164,last_game_record
163,last_game_w_l_ratio
138,opponent_season_end_runs_mean
133,VisitingTeam
119,opponent_season_end_w_l_ratio
117,VisitingTeamGameNumber
108,is_weekend
95,season_end_runs_allowed_mean
92,DayofMonth
90,HomeTeamGameNumber
75,visiting_bat10
67,VisitingTeamOffense_Strickouts
67,VisitingTeamDefense_Assists
65,HomeTeamOffense_LeftOnBase
64,last_game_streak
64,bat_avg_age
63,visiting_field10
57,season_end_runs_mean
56,HomeTeamOffense_Strickouts
55,HomeTeamDefense_Assists
53,VisitingTeamOffense_AtBats
51,VisitingTeamOffense_Doubles
49,pitch_avg_age
47,World_Series_Winner
47,HomeTeamOffense_AtBats
46,season_end_w_l_ratio
45,HomeTeamOffense_Doubles
41,previous_visiting_as_cnt
41,home_pitch10
41,VisitingTeamDefense_Errors
40,HomeTeamOffense_Hits
39,VisitingTeamOffense_Walks
39,HomeTeamPitchers_IndividualEarnedRuns
37,VisitingTeamOffense_RBIs
36,opponent_season_end_rank
36,visiting_pitch10
34,VisitingTeamOffense_Hits
34,HomeTeamOffense_Homeruns
33,last_game_div_rank
32,home_bat10
32,VisitingTeamOffense_LeftOnBase
32,HomeTeamPitchers_PitchersUsed
31,VisitingTeamOffense_GroundedintoDoublePlay
31,HomeTeamOffense_StolenBases
27,VisitingTeamOffense_HitbyPitch
27,HomeTeamDefense_Errors
26,HomeTeamOffense_Walks
25,VistingTeamScore
25,HomeTeamOffense_RBIs
24,VisitingTeamPitchers_PitchersUsed
24,HomeTeamDefense_DoublePlays
23,VisitingTeamOffense_Homeruns
22,visiting_as_cnt
18,home_field10
18,VisitingTeamDefense_DoublePlays
18,HomeTeamOffense_SacrificeHits
18,HomeTeamOffense_GroundedintoDoublePlay
18,DayNight
17,NumberofOuts
17,HomeTeamScore
15,VisitingTeamPitchers_IndividualEarnedRuns
14,HomeTeamOffense_Triples
14,HomeTeamOffense_HitbyPitch
12,VisitingTeamOffense_SacrificeHits
11,previous_home_as_cnt
10,VisitingTeamOffense_IntentionalWalks
10,Year
9,VisitingTeamOffense_StolenBases
8,MVP_in_visitingteam
7,VisitingTeamPitchers_WildPitches
6,VisitingTeamOffense_Triples
6,HomeTeamOffense_SacrificeFlies
5,HomeTeamOffense_IntentionalWalks
4,home_as_cnt
4,NBA_Team
4,Month
4,HomeTeamPitchers_WildPitches
3,HomeTeamPitchers_TeamEarnedRuns
3,HomeTeamOffense_CaughtStealing
2,VisitingTeamOffense_CaughtStealing
2,Capacity
2,VisitingTeamOffense_SacrificeFlies
1,VisitingTeamLeague
1,VisitingTeamDefense_PassedBalls
1,HomeTeamDefense_PassedBalls
0,NumberofGames
0,HomeTeam
0,HomeTeamDefense_PutOuts
0,HomeTeamDefense_TriplePlays
0,HomeTeamLeague
0,HomeTeamOffense_AwardedFirstonCatcherInterference
0,HomeTeamPitchers_Balks
0,HomeTeam_ws_winner
0,MVP_in_hometeam
0,NFL_Team
0,NHL_Team
0,Cy_Young_in_visitingteam
0,VisitingTeamDefense_PutOuts
0,VisitingTeamDefense_TriplePlays
0,VisitingTeamOffense_AwardedFirstonCatcherInterference
0,VisitingTeamPitchers_Balks
0,VisitingTeamPitchers_TeamEarnedRuns
0,VisitingTeam_ws_winner
0,date_int
0,holidayName
0,is_public_holiday
0,mean_attendance
0,opening_day
0,Cy_Young_in_hometeam
