Value,Feature
516,Attendance_1
270,Attendance_5
262,DayofWeek
239,VisitingTeamGameNumber
229,Date
206,Attendance_3
205,Attendance_4
204,opponent_season_end_runs_mean
195,VisitingTeam
187,DayofMonth
167,opponent_season_end_runs_allowed_mean
164,Attendance_2
148,last_game_w_l_ratio
140,last_game_record
125,DayNight
112,opponent_season_end_w_l_ratio
106,is_weekend
96,HomeTeamGameNumber
87,visiting_as_cnt
78,visiting_bat10
78,bat_avg_age
74,VisitingTeamOffense_AtBats
73,season_end_w_l_ratio
70,HomeTeamOffense_LeftOnBase
69,HomeTeamOffense_AtBats
67,VisitingTeamOffense_Hits
65,last_game_div_rank
64,season_end_runs_mean
64,VisitingTeamOffense_LeftOnBase
63,last_game_streak
58,previous_visiting_as_cnt
57,HomeTeamDefense_Assists
56,season_end_runs_allowed_mean
56,VisitingTeamOffense_Strickouts
55,pitch_avg_age
52,HomeTeamOffense_Strickouts
50,visiting_field10
49,VistingTeamScore
48,VisitingTeamPitchers_IndividualEarnedRuns
48,HomeTeamOffense_Walks
47,HomeTeamOffense_Hits
46,VisitingTeamDefense_Assists
46,VisitingTeamOffense_Walks
45,home_pitch10
44,visiting_pitch10
44,VisitingTeamOffense_GroundedintoDoublePlay
44,HomeTeamDefense_DoublePlays
43,HomeTeamScore
40,HomeTeamPitchers_IndividualEarnedRuns
39,VisitingTeamOffense_Doubles
38,HomeTeamOffense_RBIs
36,VisitingTeamOffense_StolenBases
36,HomeTeamPitchers_PitchersUsed
35,HomeTeamOffense_Homeruns
33,previous_home_as_cnt
31,HomeTeamOffense_StolenBases
29,World_Series_Winner
26,VisitingTeamPitchers_PitchersUsed
26,VisitingTeamDefense_Errors
25,NumberofOuts
22,VisitingTeamOffense_RBIs
21,home_as_cnt
19,HomeTeamOffense_Doubles
18,home_field10
18,VisitingTeamOffense_Homeruns
17,HomeTeamOffense_GroundedintoDoublePlay
16,HomeTeamDefense_Errors
16,opponent_season_end_rank
16,Month
15,VisitingTeamDefense_DoublePlays
15,HomeTeamOffense_HitbyPitch
13,home_bat10
13,VisitingTeamPitchers_WildPitches
11,VisitingTeamLeague
11,VisitingTeamPitchers_TeamEarnedRuns
7,VisitingTeamOffense_HitbyPitch
6,VisitingTeamOffense_IntentionalWalks
6,HomeTeamOffense_SacrificeFlies
4,MVP_in_hometeam
3,HomeTeamOffense_IntentionalWalks
3,MVP_in_visitingteam
2,VisitingTeamOffense_SacrificeHits
2,VisitingTeamOffense_SacrificeFlies
2,HomeTeamPitchers_WildPitches
2,HomeTeamOffense_CaughtStealing
1,HomeTeamPitchers_TeamEarnedRuns
1,HomeTeamOffense_SacrificeHits
0,NFL_Team
0,HomeTeamLeague
0,NBA_Team
0,HomeTeam_ws_winner
0,HomeTeamPitchers_Balks
0,HomeTeamOffense_Triples
0,HomeTeamOffense_AwardedFirstonCatcherInterference
0,Cy_Young_in_hometeam
0,HomeTeamDefense_TriplePlays
0,HomeTeamDefense_PutOuts
0,HomeTeamDefense_PassedBalls
0,HomeTeam
0,Cy_Young_in_visitingteam
0,NumberofGames
0,NHL_Team
0,opening_day
0,VisitingTeamDefense_PassedBalls
0,VisitingTeamDefense_PutOuts
0,VisitingTeamDefense_TriplePlays
0,VisitingTeamOffense_AwardedFirstonCatcherInterference
0,VisitingTeamOffense_CaughtStealing
0,VisitingTeamOffense_Triples
0,VisitingTeamPitchers_Balks
0,VisitingTeam_ws_winner
0,Year
0,date_int
0,holidayName
0,is_public_holiday
0,mean_attendance
0,Capacity
