Value,Feature
1161,Attendance_1
812,Attendance_5
696,Attendance_2
683,last_game_w_l_ratio
661,Attendance_4
593,Attendance_3
590,Date
546,DayofMonth
502,last_game_record
463,VisitingTeamGameNumber
460,opponent_season_end_runs_mean
446,DayofWeek
429,opponent_season_end_w_l_ratio
378,opponent_season_end_runs_allowed_mean
336,VisitingTeam
306,VisitingTeamDefense_Assists
272,last_game_streak
251,HomeTeamOffense_AtBats
244,HomeTeamDefense_Assists
233,VisitingTeamOffense_Strickouts
232,HomeTeamOffense_Strickouts
224,VisitingTeamOffense_LeftOnBase
210,season_end_runs_mean
205,VisitingTeamOffense_Walks
205,VisitingTeamOffense_AtBats
201,HomeTeamOffense_LeftOnBase
201,HomeTeamGameNumber
200,HomeTeamOffense_Hits
197,HomeTeamOffense_Walks
191,visiting_field10
186,bat_avg_age
183,visiting_bat10
181,is_weekend
178,visiting_pitch10
170,VisitingTeamOffense_Hits
166,HomeTeamScore
162,VisitingTeamOffense_Doubles
155,season_end_w_l_ratio
151,DayNight
138,HomeTeamPitchers_PitchersUsed
134,visiting_as_cnt
132,VisitingTeamPitchers_IndividualEarnedRuns
124,HomeTeamOffense_Doubles
120,season_end_runs_allowed_mean
114,World_Series_Winner
113,VisitingTeamPitchers_PitchersUsed
110,MVP_in_visitingteam
107,VisitingTeamOffense_GroundedintoDoublePlay
104,pitch_avg_age
103,VisitingTeamOffense_Homeruns
102,home_field10
102,VistingTeamScore
101,home_pitch10
99,HomeTeamOffense_StolenBases
97,VisitingTeamDefense_Errors
97,last_game_div_rank
94,HomeTeamPitchers_IndividualEarnedRuns
93,HomeTeamOffense_Homeruns
92,VisitingTeamOffense_RBIs
91,HomeTeamOffense_RBIs
91,VisitingTeamOffense_StolenBases
87,VisitingTeamDefense_DoublePlays
84,opponent_season_end_rank
83,HomeTeamDefense_DoublePlays
81,HomeTeamDefense_Errors
78,HomeTeamOffense_GroundedintoDoublePlay
77,previous_visiting_as_cnt
74,previous_home_as_cnt
72,home_as_cnt
67,NumberofOuts
63,home_bat10
59,VisitingTeamOffense_SacrificeHits
59,HomeTeamOffense_HitbyPitch
48,HomeTeamPitchers_WildPitches
47,HomeTeamOffense_SacrificeHits
39,NumberofGames
37,VisitingTeamOffense_HitbyPitch
34,VisitingTeamOffense_IntentionalWalks
32,HomeTeamOffense_SacrificeFlies
23,VisitingTeamOffense_SacrificeFlies
22,VisitingTeamPitchers_WildPitches
22,VisitingTeamOffense_CaughtStealing
20,VisitingTeamPitchers_TeamEarnedRuns
19,VisitingTeamOffense_Triples
19,HomeTeamOffense_IntentionalWalks
14,HomeTeamPitchers_TeamEarnedRuns
13,VisitingTeamLeague
13,Month
11,VisitingTeam_ws_winner
8,HomeTeamOffense_CaughtStealing
7,HomeTeamOffense_Triples
3,VisitingTeamPitchers_Balks
1,VisitingTeamDefense_PutOuts
1,VisitingTeamDefense_PassedBalls
0,NBA_Team
0,HomeTeamLeague
0,HomeTeam_ws_winner
0,HomeTeamPitchers_Balks
0,HomeTeamOffense_AwardedFirstonCatcherInterference
0,HomeTeam
0,HomeTeamDefense_TriplePlays
0,HomeTeamDefense_PutOuts
0,HomeTeamDefense_PassedBalls
0,Cy_Young_in_visitingteam
0,MVP_in_hometeam
0,Cy_Young_in_hometeam
0,NFL_Team
0,NHL_Team
0,VisitingTeamDefense_TriplePlays
0,VisitingTeamOffense_AwardedFirstonCatcherInterference
0,Year
0,date_int
0,holidayName
0,is_public_holiday
0,mean_attendance
0,opening_day
0,Capacity
