Value,Feature
496,Attendance_1
252,Date
223,Attendance_3
220,Attendance_4
211,Attendance_5
202,Attendance_2
130,last_game_w_l_ratio
101,VisitingTeam
98,HomeTeamGameNumber
92,opponent_season_end_runs_mean
92,VisitingTeamGameNumber
87,DayofWeek
83,last_game_record
79,is_weekend
78,opponent_season_end_w_l_ratio
72,opponent_season_end_runs_allowed_mean
72,DayofMonth
55,VisitingTeamDefense_Assists
54,season_end_w_l_ratio
53,VisitingTeamOffense_LeftOnBase
48,DayNight
45,HomeTeamOffense_LeftOnBase
40,bat_avg_age
39,HomeTeamPitchers_PitchersUsed
39,HomeTeamOffense_RBIs
37,last_game_streak
36,visiting_field10
34,VisitingTeamOffense_Strickouts
34,HomeTeamDefense_Assists
31,HomeTeamOffense_Doubles
31,HomeTeamOffense_AtBats
31,HomeTeamOffense_Walks
30,last_game_div_rank
29,HomeTeamOffense_Hits
27,home_field10
27,HomeTeamOffense_Strickouts
26,pitch_avg_age
26,home_bat10
26,VisitingTeamOffense_Hits
25,VisitingTeamOffense_StolenBases
22,HomeTeamScore
22,VisitingTeamOffense_SacrificeHits
21,VisitingTeamOffense_IntentionalWalks
21,VisitingTeamOffense_GroundedintoDoublePlay
21,VisitingTeamOffense_Walks
20,visiting_pitch10
20,visiting_bat10
20,VisitingTeamOffense_AtBats
20,HomeTeamDefense_DoublePlays
19,previous_visiting_as_cnt
19,VisitingTeamOffense_RBIs
19,VisitingTeamOffense_Doubles
19,HomeTeamOffense_StolenBases
18,World_Series_Winner
18,VisitingTeamDefense_DoublePlays
17,opponent_season_end_rank
17,VisitingTeamOffense_Homeruns
16,NumberofOuts
16,HomeTeamPitchers_WildPitches
16,HomeTeamDefense_PassedBalls
14,season_end_runs_allowed_mean
14,VisitingTeamOffense_HitbyPitch
14,VisitingTeamDefense_Errors
14,HomeTeamOffense_GroundedintoDoublePlay
13,season_end_runs_mean
13,VistingTeamScore
13,HomeTeamDefense_Errors
12,VisitingTeamPitchers_PitchersUsed
11,visiting_as_cnt
11,VisitingTeamPitchers_IndividualEarnedRuns
10,HomeTeamOffense_HitbyPitch
9,HomeTeamOffense_Homeruns
9,MVP_in_visitingteam
9,previous_home_as_cnt
8,VisitingTeamPitchers_WildPitches
8,HomeTeamPitchers_IndividualEarnedRuns
7,home_as_cnt
7,VisitingTeamOffense_CaughtStealing
6,NBA_Team
6,MVP_in_hometeam
6,HomeTeamOffense_SacrificeHits
6,VisitingTeamLeague
5,HomeTeamPitchers_TeamEarnedRuns
4,HomeTeamOffense_Triples
3,HomeTeamOffense_IntentionalWalks
3,HomeTeamOffense_SacrificeFlies
3,HomeTeamPitchers_Balks
3,Month
3,VisitingTeamOffense_Triples
3,home_pitch10
3,VisitingTeamPitchers_TeamEarnedRuns
2,Year
2,VisitingTeamDefense_PutOuts
2,VisitingTeamDefense_PassedBalls
1,NumberofGames
1,HomeTeamOffense_CaughtStealing
0,HomeTeamLeague
0,NFL_Team
0,HomeTeam_ws_winner
0,HomeTeamOffense_AwardedFirstonCatcherInterference
0,Cy_Young_in_visitingteam
0,HomeTeamDefense_TriplePlays
0,HomeTeamDefense_PutOuts
0,HomeTeam
0,VisitingTeamDefense_TriplePlays
0,NHL_Team
0,Cy_Young_in_hometeam
0,VisitingTeamOffense_AwardedFirstonCatcherInterference
0,VisitingTeamOffense_SacrificeFlies
0,VisitingTeamPitchers_Balks
0,VisitingTeam_ws_winner
0,date_int
0,holidayName
0,is_public_holiday
0,mean_attendance
0,opening_day
0,Capacity
