Value,Feature
1251,Attendance_1
692,Attendance_4
659,Attendance_5
612,Attendance_2
570,Attendance_3
551,DayofWeek
516,Date
448,last_game_record
400,VisitingTeamGameNumber
393,last_game_w_l_ratio
390,VisitingTeam
370,opponent_season_end_runs_mean
342,DayofMonth
337,opponent_season_end_runs_allowed_mean
300,opponent_season_end_w_l_ratio
240,HomeTeamGameNumber
235,HomeTeamDefense_Assists
226,VisitingTeamOffense_Strickouts
211,last_game_streak
196,HomeTeamOffense_Strickouts
191,visiting_pitch10
183,visiting_field10
179,is_weekend
170,VisitingTeamDefense_Assists
166,HomeTeamOffense_Hits
165,bat_avg_age
162,HomeTeamOffense_AtBats
161,VisitingTeamOffense_Walks
154,season_end_runs_mean
152,HomeTeamOffense_LeftOnBase
148,HomeTeamOffense_Walks
145,VisitingTeamOffense_AtBats
142,VisitingTeamOffense_LeftOnBase
134,visiting_as_cnt
128,VisitingTeamOffense_Hits
122,season_end_runs_allowed_mean
118,HomeTeamPitchers_PitchersUsed
109,HomeTeamOffense_Doubles
108,pitch_avg_age
104,visiting_bat10
104,DayNight
103,HomeTeamDefense_DoublePlays
102,VistingTeamScore
99,season_end_w_l_ratio
99,HomeTeamScore
98,opponent_season_end_rank
98,VisitingTeamPitchers_PitchersUsed
98,VisitingTeamOffense_Doubles
97,HomeTeamOffense_Homeruns
90,HomeTeamPitchers_IndividualEarnedRuns
87,VisitingTeamDefense_Errors
83,VisitingTeamPitchers_IndividualEarnedRuns
81,last_game_div_rank
80,VisitingTeamOffense_RBIs
77,VisitingTeamOffense_StolenBases
76,previous_visiting_as_cnt
74,World_Series_Winner
72,HomeTeamOffense_StolenBases
71,home_pitch10
69,VisitingTeamDefense_DoublePlays
66,VisitingTeamOffense_GroundedintoDoublePlay
66,HomeTeamOffense_RBIs
60,home_field10
60,VisitingTeamOffense_Homeruns
57,MVP_in_visitingteam
56,HomeTeamOffense_GroundedintoDoublePlay
54,HomeTeamDefense_Errors
43,home_as_cnt
41,VisitingTeamOffense_HitbyPitch
41,VisitingTeamPitchers_WildPitches
41,NumberofOuts
32,HomeTeamPitchers_WildPitches
28,HomeTeamOffense_HitbyPitch
27,HomeTeamOffense_SacrificeFlies
23,previous_home_as_cnt
21,Month
20,VisitingTeamOffense_SacrificeHits
19,home_bat10
19,HomeTeamOffense_Triples
18,VisitingTeamOffense_SacrificeFlies
18,VisitingTeamOffense_IntentionalWalks
17,HomeTeamOffense_SacrificeHits
17,VisitingTeamOffense_CaughtStealing
15,VisitingTeamLeague
15,HomeTeamOffense_CaughtStealing
10,HomeTeamPitchers_TeamEarnedRuns
9,VisitingTeamOffense_Triples
8,HomeTeamPitchers_Balks
8,MVP_in_hometeam
7,HomeTeamOffense_IntentionalWalks
5,Year
5,VisitingTeamPitchers_TeamEarnedRuns
2,VisitingTeamDefense_PassedBalls
2,HomeTeamDefense_PassedBalls
1,HomeTeamDefense_PutOuts
0,NumberofGames
0,Cy_Young_in_visitingteam
0,HomeTeam
0,HomeTeamDefense_TriplePlays
0,HomeTeamLeague
0,HomeTeamOffense_AwardedFirstonCatcherInterference
0,HomeTeam_ws_winner
0,NBA_Team
0,NFL_Team
0,NHL_Team
0,Cy_Young_in_hometeam
0,VisitingTeamDefense_PutOuts
0,VisitingTeamDefense_TriplePlays
0,VisitingTeamOffense_AwardedFirstonCatcherInterference
0,VisitingTeamPitchers_Balks
0,VisitingTeam_ws_winner
0,date_int
0,holidayName
0,is_public_holiday
0,mean_attendance
0,opening_day
0,Capacity
