Value,Feature
420,Attendance_1
201,Attendance_5
151,DayofWeek
144,Attendance_2
143,Attendance_4
124,last_game_w_l_ratio
120,VisitingTeamGameNumber
109,opponent_season_end_runs_mean
107,HomeTeamGameNumber
97,is_weekend
92,last_game_record
92,Attendance_3
90,Date
85,season_end_w_l_ratio
84,VisitingTeam
81,season_end_runs_allowed_mean
80,DayNight
78,opponent_season_end_w_l_ratio
77,opponent_season_end_runs_allowed_mean
57,VisitingTeamOffense_Strickouts
56,DayofMonth
52,VisitingTeamOffense_AtBats
52,VisitingTeamDefense_Assists
46,visiting_pitch10
44,visiting_bat10
41,HomeTeamOffense_Strickouts
40,HomeTeamOffense_Walks
39,HomeTeamDefense_Assists
38,HomeTeamOffense_Hits
37,World_Series_Winner
35,visiting_as_cnt
35,HomeTeamOffense_AtBats
34,last_game_streak
31,HomeTeamOffense_LeftOnBase
29,VisitingTeamOffense_LeftOnBase
28,VisitingTeamOffense_Hits
27,pitch_avg_age
26,VisitingTeamPitchers_PitchersUsed
25,VisitingTeamOffense_Homeruns
25,VisitingTeamOffense_GroundedintoDoublePlay
24,HomeTeamPitchers_IndividualEarnedRuns
24,opponent_season_end_rank
23,visiting_field10
22,season_end_runs_mean
22,VisitingTeamOffense_Walks
22,VisitingTeamOffense_Doubles
21,HomeTeamOffense_Homeruns
19,bat_avg_age
19,VisitingTeamOffense_SacrificeHits
19,MVP_in_visitingteam
19,HomeTeamOffense_Doubles
18,VisitingTeamOffense_StolenBases
17,last_game_div_rank
17,HomeTeamOffense_StolenBases
16,home_field10
16,HomeTeamOffense_RBIs
16,previous_home_as_cnt
16,VistingTeamScore
14,home_pitch10
14,VisitingTeamOffense_RBIs
13,previous_visiting_as_cnt
13,VisitingTeamPitchers_IndividualEarnedRuns
12,HomeTeamScore
11,VisitingTeamOffense_IntentionalWalks
11,VisitingTeamDefense_Errors
10,HomeTeamPitchers_PitchersUsed
10,HomeTeamOffense_SacrificeHits
9,MVP_in_hometeam
8,home_as_cnt
7,HomeTeamOffense_SacrificeFlies
7,HomeTeamOffense_IntentionalWalks
7,HomeTeamDefense_Errors
7,HomeTeamOffense_Triples
6,NumberofOuts
6,HomeTeamPitchers_WildPitches
5,HomeTeamDefense_DoublePlays
5,VisitingTeamPitchers_WildPitches
5,VisitingTeamDefense_DoublePlays
5,HomeTeamOffense_CaughtStealing
4,VisitingTeamOffense_HitbyPitch
3,HomeTeamOffense_HitbyPitch
3,HomeTeamOffense_GroundedintoDoublePlay
2,home_bat10
2,VisitingTeamPitchers_TeamEarnedRuns
2,VisitingTeamOffense_CaughtStealing
2,Month
1,HomeTeamPitchers_TeamEarnedRuns
1,VisitingTeamOffense_Triples
1,Year
0,NumberofGames
0,Cy_Young_in_visitingteam
0,HomeTeam
0,HomeTeamDefense_PassedBalls
0,HomeTeamDefense_PutOuts
0,HomeTeamDefense_TriplePlays
0,HomeTeamLeague
0,HomeTeamOffense_AwardedFirstonCatcherInterference
0,HomeTeamPitchers_Balks
0,HomeTeam_ws_winner
0,NBA_Team
0,NFL_Team
0,NHL_Team
0,Cy_Young_in_hometeam
0,VisitingTeamDefense_PassedBalls
0,VisitingTeamDefense_PutOuts
0,VisitingTeamDefense_TriplePlays
0,VisitingTeamLeague
0,VisitingTeamOffense_AwardedFirstonCatcherInterference
0,VisitingTeamOffense_SacrificeFlies
0,VisitingTeamPitchers_Balks
0,VisitingTeam_ws_winner
0,date_int
0,holidayName
0,is_public_holiday
0,mean_attendance
0,opening_day
0,Capacity
