Value,Feature
248,Attendance_1
201,DayofWeek
109,VisitingTeam
75,Date
73,Attendance_5
66,Attendance_2
64,Attendance_4
63,last_game_record
50,is_weekend
50,VisitingTeamGameNumber
48,pitch_avg_age
45,last_game_w_l_ratio
43,opponent_season_end_runs_mean
43,Attendance_3
41,HomeTeamGameNumber
35,opponent_season_end_w_l_ratio
30,last_game_streak
21,HomeTeamOffense_Walks
20,HomeTeamOffense_Strickouts
19,opponent_season_end_runs_allowed_mean
18,visiting_field10
18,VisitingTeamDefense_Assists
16,season_end_runs_mean
16,home_pitch10
16,HomeTeamOffense_Doubles
15,DayofMonth
14,VisitingTeamOffense_Walks
14,VisitingTeamOffense_LeftOnBase
14,VisitingTeamOffense_Strickouts
14,last_game_div_rank
13,VisitingTeamPitchers_WildPitches
13,DayNight
12,season_end_runs_allowed_mean
12,VisitingTeamPitchers_IndividualEarnedRuns
12,HomeTeamOffense_LeftOnBase
11,HomeTeamOffense_Homeruns
11,HomeTeamOffense_Hits
10,visiting_pitch10
10,visiting_bat10
10,home_as_cnt
10,VisitingTeamOffense_Homeruns
9,HomeTeamDefense_Assists
9,VisitingTeamOffense_RBIs
8,VisitingTeamDefense_Errors
8,HomeTeamOffense_AtBats
7,season_end_w_l_ratio
7,previous_home_as_cnt
7,World_Series_Winner
7,VisitingTeamPitchers_PitchersUsed
6,visiting_as_cnt
6,VisitingTeamOffense_Doubles
6,VisitingTeamOffense_AtBats
6,HomeTeamScore
5,HomeTeamPitchers_WildPitches
5,previous_visiting_as_cnt
5,VisitingTeamOffense_GroundedintoDoublePlay
4,bat_avg_age
4,opponent_season_end_rank
4,VisitingTeamOffense_IntentionalWalks
4,VisitingTeamDefense_DoublePlays
4,HomeTeamOffense_RBIs
4,HomeTeamDefense_Errors
4,VisitingTeamOffense_Hits
3,home_bat10
3,VisitingTeamOffense_StolenBases
3,VisitingTeamOffense_SacrificeHits
3,HomeTeamPitchers_IndividualEarnedRuns
3,HomeTeamOffense_SacrificeFlies
3,HomeTeamOffense_IntentionalWalks
3,HomeTeamOffense_CaughtStealing
2,HomeTeamOffense_GroundedintoDoublePlay
2,MVP_in_visitingteam
2,HomeTeamDefense_DoublePlays
2,HomeTeamPitchers_Balks
2,HomeTeamPitchers_PitchersUsed
2,NumberofOuts
2,VisitingTeamOffense_HitbyPitch
2,VisitingTeamOffense_SacrificeFlies
2,VistingTeamScore
2,VisitingTeamDefense_PassedBalls
2,home_field10
1,HomeTeamOffense_StolenBases
1,Month
1,MVP_in_hometeam
1,HomeTeamOffense_SacrificeHits
1,HomeTeamOffense_HitbyPitch
0,HomeTeam_ws_winner
0,HomeTeamOffense_Triples
0,HomeTeamPitchers_TeamEarnedRuns
0,HomeTeamLeague
0,NBA_Team
0,NFL_Team
0,HomeTeamOffense_AwardedFirstonCatcherInterference
0,Cy_Young_in_hometeam
0,HomeTeamDefense_TriplePlays
0,HomeTeamDefense_PutOuts
0,HomeTeamDefense_PassedBalls
0,HomeTeam
0,Cy_Young_in_visitingteam
0,NumberofGames
0,NHL_Team
0,mean_attendance
0,VisitingTeamDefense_PutOuts
0,VisitingTeamDefense_TriplePlays
0,VisitingTeamLeague
0,VisitingTeamOffense_AwardedFirstonCatcherInterference
0,VisitingTeamOffense_CaughtStealing
0,VisitingTeamOffense_Triples
0,VisitingTeamPitchers_Balks
0,VisitingTeamPitchers_TeamEarnedRuns
0,VisitingTeam_ws_winner
0,Year
0,date_int
0,holidayName
0,is_public_holiday
0,opening_day
0,Capacity
