Value,Feature
774,Attendance_1
469,Attendance_5
464,Attendance_2
457,DayofWeek
396,Attendance_4
355,Attendance_3
315,last_game_w_l_ratio
284,DayofMonth
277,last_game_record
262,opponent_season_end_runs_mean
261,Date
245,VisitingTeam
241,opponent_season_end_runs_allowed_mean
230,VisitingTeamGameNumber
197,opponent_season_end_w_l_ratio
193,last_game_streak
178,HomeTeamOffense_Strickouts
159,HomeTeamGameNumber
154,HomeTeamDefense_Assists
150,HomeTeamOffense_LeftOnBase
135,VisitingTeamOffense_LeftOnBase
134,HomeTeamOffense_AtBats
129,VisitingTeamOffense_Strickouts
129,VisitingTeamOffense_Hits
125,bat_avg_age
122,World_Series_Winner
121,pitch_avg_age
118,visiting_as_cnt
111,HomeTeamOffense_Hits
111,is_weekend
108,VisitingTeamDefense_Assists
107,VisitingTeamOffense_AtBats
104,season_end_runs_allowed_mean
98,VisitingTeamOffense_Walks
87,season_end_w_l_ratio
86,HomeTeamOffense_Doubles
83,VisitingTeamPitchers_IndividualEarnedRuns
81,HomeTeamOffense_Walks
78,visiting_pitch10
77,visiting_bat10
70,VistingTeamScore
68,visiting_field10
64,HomeTeamScore
64,home_bat10
63,last_game_div_rank
63,VisitingTeamOffense_StolenBases
62,previous_visiting_as_cnt
62,VisitingTeamOffense_Doubles
61,VisitingTeamPitchers_PitchersUsed
61,HomeTeamOffense_RBIs
60,HomeTeamOffense_Homeruns
58,home_pitch10
56,season_end_runs_mean
56,HomeTeamPitchers_IndividualEarnedRuns
55,VisitingTeamDefense_Errors
54,VisitingTeamOffense_RBIs
54,HomeTeamPitchers_PitchersUsed
52,HomeTeamOffense_GroundedintoDoublePlay
51,VisitingTeamOffense_Homeruns
50,DayNight
48,VisitingTeamDefense_DoublePlays
48,HomeTeamDefense_Errors
47,opponent_season_end_rank
46,previous_home_as_cnt
44,NumberofOuts
43,HomeTeamOffense_StolenBases
37,HomeTeamOffense_Triples
35,VisitingTeamOffense_SacrificeFlies
33,VisitingTeamOffense_Triples
30,home_as_cnt
30,VisitingTeamPitchers_WildPitches
29,VisitingTeamOffense_GroundedintoDoublePlay
28,MVP_in_visitingteam
27,HomeTeamDefense_DoublePlays
22,MVP_in_hometeam
21,HomeTeamOffense_SacrificeFlies
20,VisitingTeamOffense_HitbyPitch
19,home_field10
19,VisitingTeamOffense_CaughtStealing
17,HomeTeamOffense_CaughtStealing
14,HomeTeamPitchers_TeamEarnedRuns
14,VisitingTeamLeague
12,VisitingTeamOffense_IntentionalWalks
12,HomeTeamPitchers_WildPitches
12,HomeTeamOffense_SacrificeHits
11,HomeTeamOffense_HitbyPitch
9,HomeTeamOffense_IntentionalWalks
7,VisitingTeamPitchers_TeamEarnedRuns
6,VisitingTeamOffense_SacrificeHits
3,Month
2,VisitingTeamDefense_PassedBalls
1,Year
1,HomeTeamDefense_PassedBalls
0,NHL_Team
0,Cy_Young_in_visitingteam
0,HomeTeam
0,HomeTeamDefense_PutOuts
0,HomeTeamDefense_TriplePlays
0,HomeTeamLeague
0,HomeTeamOffense_AwardedFirstonCatcherInterference
0,HomeTeamPitchers_Balks
0,HomeTeam_ws_winner
0,NBA_Team
0,NFL_Team
0,Cy_Young_in_hometeam
0,NumberofGames
0,VisitingTeamDefense_PutOuts
0,VisitingTeamDefense_TriplePlays
0,VisitingTeamOffense_AwardedFirstonCatcherInterference
0,VisitingTeamPitchers_Balks
0,VisitingTeam_ws_winner
0,date_int
0,holidayName
0,is_public_holiday
0,mean_attendance
0,opening_day
0,Capacity
