,Date,game_time,stadium_name,HomeTeam,VisitingTeam,BallParkID,NumberofGames,cnt
0,20230330,2023-03-13 13:05:00,Yankee Stadium,NYA,SFN,CHI11,0.0,1
1,20230330,2023-03-13 13:05:00,Nationals Park,WAS,ATL,WIL02,0.0,1
2,20230330,2023-03-13 13:10:00,Petco Park,SDN,COL,SAN02,0.0,1
3,20230330,2023-03-13 13:20:00,Wrigley Field,CHN,MIL,ATL03,0.0,1
4,20230330,2023-03-13 14:10:00,Fenway Park,BOS,BAL,BOS07,0.0,1
5,20230330,2023-03-13 15:05:00,Globe Life Field,TEX,PHI,ARL02,0.0,1
6,20230330,2023-03-13 15:10:00,Busch Stadium,SLN,TOR,STL09,0.0,1
7,20230330,2023-03-13 15:10:00,Kauffman Stadium,KCA,MIN,KAN06,0.0,1
8,20230330,2023-03-13 15:10:00,Tropicana Field,TBA,DET,SEA03,0.0,1
9,20230330,2023-03-13 16:10:00,Great American Ball Park,CIN,PIT,CIN09,0.0,1
10,20230330,2023-03-13 16:10:00,loanDepot park,MIA,NYN,NYC16,0.0,1
11,20230330,2023-03-13 18:08:00,Minute Maid Park,HOU,CHA,LON01,0.0,1
12,20230330,2023-03-13 19:07:00,Oakland Coliseum,OAK,ANA,WAS11,0.0,1
13,20230330,2023-03-13 19:10:00,Dodger Stadium,LAN,ARI,LOS03,0.0,1
14,20230330,2023-03-13 19:10:00,TMobile Park,SEA,CLE,TOR02,0.0,1
15,20230331,2023-03-13 18:40:00,Petco Park,SDN,COL,SAN02,0.0,1
16,20230331,2023-03-13 18:40:00,loanDepot park,MIA,NYN,NYC16,0.0,1
17,20230331,2023-03-13 19:10:00,Dodger Stadium,LAN,ARI,LOS03,0.0,1
18,20230331,2023-03-13 19:10:00,TMobile Park,SEA,CLE,TOR02,0.0,1
19,20230331,2023-03-13 19:10:00,Minute Maid Park,HOU,CHA,LON01,0.0,1
20,20230401,2023-03-13 13:07:00,Oakland Coliseum,OAK,ANA,WAS11,0.0,1
21,20230401,2023-03-13 13:10:00,Minute Maid Park,HOU,CHA,LON01,0.0,1
22,20230401,2023-03-13 13:15:00,Busch Stadium,SLN,TOR,STL09,0.0,1
23,20230401,2023-03-13 13:20:00,Wrigley Field,CHN,MIL,ATL03,0.0,1
24,20230401,2023-03-13 15:05:00,Globe Life Field,TEX,PHI,ARL02,0.0,1
25,20230401,2023-03-13 15:10:00,Kauffman Stadium,KCA,MIN,KAN06,0.0,1
26,20230401,2023-03-13 16:05:00,Yankee Stadium,NYA,SFN,CHI11,0.0,1
27,20230401,2023-03-13 16:05:00,Nationals Park,WAS,ATL,WIL02,0.0,1
28,20230401,2023-03-13 16:10:00,Fenway Park,BOS,BAL,BOS07,0.0,1
29,20230401,2023-03-13 16:10:00,Great American Ball Park,CIN,PIT,CIN09,0.0,1
30,20230401,2023-03-13 16:10:00,loanDepot park,MIA,NYN,NYC16,0.0,1
31,20230401,2023-03-13 16:10:00,Tropicana Field,TBA,DET,SEA03,0.0,1
32,20230401,2023-03-13 17:40:00,Petco Park,SDN,COL,SAN02,0.0,1
33,20230401,2023-03-13 18:10:00,Dodger Stadium,LAN,ARI,LOS03,0.0,1
34,20230401,2023-03-13 18:40:00,TMobile Park,SEA,CLE,TOR02,0.0,1
35,20230402,2023-03-13 13:07:00,Oakland Coliseum,OAK,ANA,WAS11,0.0,1
36,20230402,2023-03-13 13:10:00,Dodger Stadium,LAN,ARI,LOS03,0.0,1
37,20230402,2023-03-13 13:10:00,Petco Park,SDN,COL,SAN02,0.0,1
38,20230402,2023-03-13 13:10:00,Kauffman Stadium,KCA,MIN,KAN06,0.0,1
39,20230402,2023-03-13 13:10:00,TMobile Park,SEA,CLE,TOR02,0.0,1
40,20230402,2023-03-13 13:10:00,Minute Maid Park,HOU,CHA,LON01,0.0,1
41,20230402,2023-03-13 13:10:00,Tropicana Field,TBA,DET,SEA03,0.0,1
42,20230402,2023-03-13 13:15:00,Busch Stadium,SLN,TOR,STL09,0.0,1
43,20230402,2023-03-13 13:20:00,Wrigley Field,CHN,MIL,ATL03,0.0,1
44,20230402,2023-03-13 13:35:00,Yankee Stadium,NYA,SFN,CHI11,0.0,1
45,20230402,2023-03-13 13:35:00,Fenway Park,BOS,BAL,BOS07,0.0,1
46,20230402,2023-03-13 13:35:00,Nationals Park,WAS,ATL,WIL02,0.0,1
47,20230402,2023-03-13 13:40:00,Great American Ball Park,CIN,PIT,CIN09,0.0,1
48,20230402,2023-03-13 13:40:00,loanDepot park,MIA,NYN,NYC16,0.0,1
49,20230402,2023-03-13 18:08:00,Globe Life Field,TEX,PHI,ARL02,0.0,1
50,20230403,2023-03-13 13:10:00,American Family Field,MIL,NYN,MIL06,0.0,1
51,20230403,2023-03-13 15:10:00,Guaranteed Rate Field,CHA,SFN,CHI12,0.0,1
52,20230403,2023-03-13 18:40:00,Oakland Coliseum,OAK,CLE,WAS11,0.0,1
53,20230403,2023-03-13 18:40:00,Great American Ball Park,CIN,CHN,CIN09,0.0,1
54,20230403,2023-03-13 18:40:00,Petco Park,SDN,ARI,SAN02,0.0,1
55,20230403,2023-03-13 18:40:00,loanDepot park,MIA,MIN,NYC16,0.0,1
56,20230403,2023-03-13 18:40:00,Kauffman Stadium,KCA,TOR,KAN06,0.0,1
57,20230403,2023-03-13 18:40:00,TMobile Park,SEA,ANA,TOR02,0.0,1
58,20230403,2023-03-13 18:45:00,Busch Stadium,SLN,ATL,STL09,0.0,1
59,20230403,2023-03-13 19:05:00,Yankee Stadium,NYA,PHI,CHI11,0.0,1
60,20230403,2023-03-13 19:05:00,Globe Life Field,TEX,BAL,ARL02,0.0,1
61,20230403,2023-03-13 19:05:00,Nationals Park,WAS,TBA,WIL02,0.0,1
62,20230403,2023-03-13 19:10:00,Fenway Park,BOS,PIT,BOS07,0.0,1
63,20230403,2023-03-13 19:10:00,Dodger Stadium,LAN,COL,LOS03,0.0,1
64,20230403,2023-03-13 19:10:00,Minute Maid Park,HOU,DET,LON01,0.0,1
65,20230404,2023-03-13 13:10:00,Petco Park,SDN,ARI,SAN02,0.0,1
66,20230404,2023-03-13 18:40:00,Oakland Coliseum,OAK,CLE,WAS11,0.0,1
67,20230404,2023-03-13 18:40:00,Great American Ball Park,CIN,CHN,CIN09,0.0,1
68,20230404,2023-03-13 18:40:00,loanDepot park,MIA,MIN,NYC16,0.0,1
69,20230404,2023-03-13 18:40:00,Kauffman Stadium,KCA,TOR,KAN06,0.0,1
70,20230404,2023-03-13 18:40:00,American Family Field,MIL,NYN,MIL06,0.0,1
71,20230404,2023-03-13 18:40:00,TMobile Park,SEA,ANA,TOR02,0.0,1
72,20230404,2023-03-13 18:45:00,Busch Stadium,SLN,ATL,STL09,0.0,1
73,20230404,2023-03-13 19:05:00,Yankee Stadium,NYA,PHI,CHI11,0.0,1
74,20230404,2023-03-13 19:05:00,Globe Life Field,TEX,BAL,ARL02,0.0,1
75,20230404,2023-03-13 19:05:00,Nationals Park,WAS,TBA,WIL02,0.0,1
76,20230404,2023-03-13 19:10:00,Fenway Park,BOS,PIT,BOS07,0.0,1
77,20230404,2023-03-13 19:10:00,Dodger Stadium,LAN,COL,LOS03,0.0,1
78,20230404,2023-03-13 19:10:00,Minute Maid Park,HOU,DET,LON01,0.0,1
79,20230405,2023-03-13 12:15:00,Busch Stadium,SLN,ATL,STL09,0.0,1
80,20230405,2023-03-13 12:35:00,Great American Ball Park,CIN,CHN,CIN09,0.0,1
81,20230405,2023-03-13 12:37:00,Oakland Coliseum,OAK,CLE,WAS11,0.0,1
82,20230405,2023-03-13 12:40:00,American Family Field,MIL,NYN,MIL06,0.0,1
83,20230405,2023-03-13 13:05:00,Yankee Stadium,NYA,PHI,CHI11,0.0,1
84,20230405,2023-03-13 13:05:00,Globe Life Field,TEX,BAL,ARL02,0.0,1
85,20230405,2023-03-13 13:05:00,Nationals Park,WAS,TBA,WIL02,0.0,1
86,20230405,2023-03-13 13:10:00,Guaranteed Rate Field,CHA,SFN,CHI12,0.0,1
87,20230405,2023-03-13 13:10:00,loanDepot park,MIA,MIN,NYC16,0.0,1
88,20230405,2023-03-13 13:10:00,TMobile Park,SEA,ANA,TOR02,0.0,1
89,20230405,2023-03-13 13:10:00,Minute Maid Park,HOU,DET,LON01,0.0,1
90,20230405,2023-03-13 13:35:00,Fenway Park,BOS,PIT,BOS07,0.0,1
91,20230405,2023-03-13 18:40:00,Kauffman Stadium,KCA,TOR,KAN06,0.0,1
92,20230406,2023-03-13 13:10:00,Guaranteed Rate Field,CHA,SFN,CHI12,0.0,1
93,20230406,2023-03-13 13:10:00,Citi Field,NYN,MIA,NYC20,0.0,1
94,20230406,2023-03-13 13:10:00,Comerica Park,DET,BOS,DET05,0.0,1
95,20230406,2023-03-13 13:10:00,Kauffman Stadium,KCA,TOR,KAN06,0.0,1
96,20230406,2023-03-13 14:10:00,Coors Field,COL,WAS,DEN02,0.0,1
97,20230406,2023-03-13 15:05:00,Oriole Park at Camden Yards,BAL,NYA,SFO03,0.0,1
98,20230406,2023-03-13 15:05:00,Citizens Bank Park,PHI,CIN,PHI13,0.0,1
99,20230406,2023-03-13 15:10:00,Target Field,MIN,HOU,MIN04,0.0,1
100,20230406,2023-03-13 18:40:00,Chase Field,ARI,LAN,PHO01,0.0,1
101,20230406,2023-03-13 19:20:00,Truist Park,ATL,SDN,STP01,0.0,1
102,20230407,2023-03-13 13:20:00,Wrigley Field,CHN,TEX,ATL03,0.0,1
103,20230407,2023-03-13 13:35:00,Oracle Park,SFN,KCA,OAK01,0.0,1
104,20230407,2023-03-13 16:10:00,Progressive Field,CLE,SEA,PIT08,0.0,1
105,20230407,2023-03-13 16:12:00,PNC Park,PIT,CHA,BAL12,0.0,1
106,20230407,2023-03-13 18:38:00,Angel Stadium,ANA,TOR,ANA01,0.0,1
107,20230407,2023-03-13 18:40:00,Coors Field,COL,WAS,DEN02,0.0,1
108,20230407,2023-03-13 18:40:00,Chase Field,ARI,LAN,PHO01,0.0,1
109,20230407,2023-03-13 18:40:00,Tropicana Field,TBA,OAK,SEA03,0.0,1
110,20230407,2023-03-13 19:10:00,American Family Field,MIL,SLN,MIL06,0.0,1
111,20230407,2023-03-13 19:20:00,Truist Park,ATL,SDN,STP01,0.0,1
112,20230408,2023-03-13 13:05:00,Oracle Park,SFN,KCA,OAK01,0.0,1
113,20230408,2023-03-13 13:10:00,Target Field,MIN,HOU,MIN04,0.0,1
114,20230408,2023-03-13 13:10:00,Comerica Park,DET,BOS,DET05,0.0,1
115,20230408,2023-03-13 15:05:00,Wrigley Field,CHN,TEX,ATL03,0.0,1
116,20230408,2023-03-13 16:05:00,Citizens Bank Park,PHI,CIN,PHI13,0.0,1
117,20230408,2023-03-13 16:10:00,Citi Field,NYN,MIA,NYC20,0.0,1
